County,Year,AvgAnnualPay,Jobs,Households,WageWt,JobsWt,HHWt,Yintercept,CalMedHHPrice,ObsMedHHPrice,PerDiff,LoanAmt,MnthlyMort,MthlyTax,MnthlyIns,MnthlyHHCost,QualifyingIncome,PerWageChng,PerJobsChng,PerHHChng,PerMedianHHChange
Alameda,2015,68791,728995,565020,34.53,3.49,-16.94,5363712,711819,726000,2%,569455,2116,593,225,2935,117403,0,0,0,0
Alameda,2020,77887,848765,614968,34.53,3.49,-16.94,5363712,597782,0,0,478226,1777,498,189,2465,98594,13.22,16.43,8.84,-16.02
Alameda,2025,86448,872712,637393,34.53,3.49,-16.94,5363712,597089,0,0,477671,1775,498,189,2462,98480,10.99,2.82,3.65,-0.12
Alameda,2030,95009,909417,668283,34.53,3.49,-16.94,5363712,497524,0,0,398019,1479,415,158,2051,82058,9.90,4.21,4.85,-16.68
Alameda,2035,103570,932903,696378,34.53,3.49,-16.94,5363712,399172,0,0,319338,1187,333,126,1646,65837,9.01,2.58,4.20,-19.77
Alameda,2040,112132,951267,734208,34.53,3.49,-16.94,5363712,118068,0,0,94455,351,98,37,487,19473,8.27,1.97,5.43,-70.42
Bay Area,2015,73802,3666533,2688271,9.14,0.23,-0.2,-236966,743233,730536,-2%,594586,2210,619,235,3065,122584,0,0,0,0
Bay Area,2020,83971,4084434,2879255,9.14,0.23,-0.2,-236966,894098,0,0,715278,2658,745,283,3687,147467,13.78,11.40,7.10,20.30
Bay Area,2025,93573,4214030,3006378,9.14,0.23,-0.2,-236966,986243,0,0,788994,2932,822,312,4067,162664,11.43,3.17,4.42,10.31
Bay Area,2030,103176,4349480,3139270,9.14,0.23,-0.2,-236966,1078589,0,0,862871,3207,899,342,4447,177895,10.26,3.21,4.42,9.36
Bay Area,2035,112779,4491293,3274343,9.14,0.23,-0.2,-236966,1171963,0,0,937570,3485,977,371,4832,193296,9.31,3.26,4.30,8.66
Bay Area,2040,122382,4640120,3420326,9.14,0.23,-0.2,-236966,1264768,0,0,1011814,3761,1054,401,5215,208603,8.51,3.31,4.46,7.92
Contra Costa,2015,63792,346862,387121,24.22,5.21,-10.59,1250613,503195,525000,4%,402556,1496,419,159,2075,82994,0,0,0,0
Contra Costa,2020,72576,428081,399615,24.22,5.21,-10.59,1250613,1006783,0,0,805426,2994,839,319,4151,166052,13.77,23.42,3.23,100.08
Contra Costa,2025,80117,446537,422438,24.22,5.21,-10.59,1250613,1043886,0,0,835109,3104,870,331,4304,172172,10.39,4.31,5.71,3.69
Contra Costa,2030,87659,461635,440763,24.22,5.21,-10.59,1250613,1111152,0,0,888922,3304,926,352,4582,183266,9.41,3.38,4.34,6.44
Contra Costa,2035,95200,476998,461067,24.22,5.21,-10.59,1250613,1158817,0,0,927054,3446,966,367,4778,191128,8.60,3.33,4.61,4.29
Contra Costa,2040,102741,497901,475388,24.22,5.21,-10.59,1250613,1298705,0,0,1038964,3861,1082,411,5355,214200,7.92,4.38,3.11,12.07
Marin,2015,64906,112056,104222,17.3,10.92,2.59,-1528506,1087954,1100000,1%,870363,3235,907,345,4486,179440,0,0,0,0
