County,Year,Households
Alameda,2000,523481
Alameda,2040,734208
Alameda,2020,614968
Alameda,2010,1089189
Alameda,2025,637393
Alameda,2015,1148000
Alameda,2030,668283
Alameda,2035,696378
Alameda,2005,520698
Contra Costa,2035,461067
Contra Costa,2030,440763
Contra Costa,2015,774676
Contra Costa,2005,361651
Contra Costa,2010,750728
Contra Costa,2020,399615
Contra Costa,2000,344103
Contra Costa,2040,475388
Contra Costa,2025,422438
Marin,2005,102219
Marin,2035,111350
Marin,2015,209901
Marin,2030,111065
Marin,2025,109374
Marin,2020,108194
Marin,2010,206420
Marin,2040,111588
Marin,2000,100599
Napa,2000,45369
Napa,2040,54602
Napa,2010,97750
Napa,2020,50349
Napa,2025,52063
Napa,2030,53691
Napa,2015,98531
Napa,2035,54646
Napa,2005,48092
San Francisco,2005,321904
San Francisco,2030,436971
San Francisco,2015,744061
San Francisco,2035,453241
San Francisco,2025,424651
San Francisco,2000,329674
San Francisco,2040,483119
San Francisco,2010,690989
San Francisco,2020,408041
San Mateo,2005,253876
San Mateo,2030,303053
San Mateo,2015,530861
San Mateo,2035,308942
San Mateo,2025,290868
San Mateo,2000,254138
San Mateo,2040,318539
San Mateo,2010,515664
San Mateo,2020,284821
Santa Clara,2005,577334
Santa Clara,2030,754945
Santa Clara,2015,1270338
Santa Clara,2035,809183
Santa Clara,2025,715884
Santa Clara,2040,854434
Santa Clara,2000,564120
Santa Clara,2010,1206598
Santa Clara,2020,676709
Solano,2015,287282
Solano,2030,159396
Solano,2035,163381
Solano,2005,134470
Solano,2000,130438
Solano,2040,169388
Solano,2020,145898
Solano,2010,283518
Solano,2025,153199
Sonoma,2005,176989
Sonoma,2015,373960
Sonoma,2030,211103
Sonoma,2035,216155
Sonoma,2025,200508
Sonoma,2000,172396
Sonoma,2040,219060
Sonoma,2020,190660
Sonoma,2010,371651
