Year,County,Avg.Median Home price,Interest_Rate,QualifyingIncome,AvgAnnualIncome
1991,Alameda,229890,9.34,71580,29262
1992,Alameda,223200,8.11,63228,30739
1993,Alameda,217370,7.13,56880,31202
1994,Alameda,210010,7.49,56616,32175
1995,Alameda,207880,7.85,57684,33263
1996,Alameda,215490,7.74,59268,34505
1997,Alameda,230800,7.68,63180,37045
1998,Alameda,256770,7.1,67008,38809
1999,Alameda,289200,7.25,76428,41098
2000,Alameda,371850,7.96,104100,45155
2001,Alameda,399520,7.03,103692,46489
2002,Alameda,447290,6.51,111132,47307
2003,Alameda,477220,5.73,110868,48822
2004,Alameda,580360,5.74,134976,51402
2005,Alameda,661420,5.9,155940,53152
2006,Alameda,667410,6.6,167100,55920
2007,Alameda,678130,6.49,168192,58189
2008,Alameda,475860,6.14,114576,58666
2009,Alameda,381400,5.14,84108,58863
2010,Alameda,436433,4.91,94272,61175
2011,Alameda,398460,4.68,84288,62269
2012,Alameda,433750,3.77,84396,63658
2013,Alameda,577960,3.98,114672,63533
2014,Alameda,657170,4.28,134064,65733
2015,Alameda,726000,4.03,144720,68791
2016,Alameda,780000,3.83,152604,70563
2020,Alameda,597782,4.46,98594,77887
2025,Alameda,597089,4.46,98480,86448
2030,Alameda,497524,4.46,82058,95009
2035,Alameda,399172,4.46,65837,103570
2040,Alameda,118068,4.46,19473,112132
1991,Bay Area,234197,9.34,72936,28240
1992,Bay Area,233964,8.11,66288,30081
1993,Bay Area,232320,7.13,60804,30709
1994,Bay Area,238903,7.49,64392,31565
1995,Bay Area,239315,7.85,66408,32788
1996,Bay Area,247183,7.74,67968,34109
1997,Bay Area,268918,7.68,73608,36455
1998,Bay Area,300666,7.1,78468,38530
1999,Bay Area,346852,7.25,91680,41957
2000,Bay Area,433890,7.96,121440,48066
2001,Bay Area,459898,7.03,119352,47599
2002,Bay Area,492415,6.51,122376,47054
2003,Bay Area,533347,5.73,123936,48564
2004,Bay Area,622158,5.74,144660,51268
2005,Bay Area,685463,5.9,161652,53537
2006,Bay Area,705118,6.6,176556,55935
2007,Bay Area,737634,6.49,182976,58834
2008,Bay Area,514364,6.14,123828,59287
2009,Bay Area,392988,5.14,86676,59635
2010,Bay Area,449088,4.91,97020,61177
2011,Bay Area,414028,4.68,87600,63325
2012,Bay Area,464912,3.77,90468,67362
2013,Bay Area,607240,3.98,120492,68285
2014,Bay Area,677001,4.28,138108,70529
2015,Bay Area,730536,4.03,145608,73803
2016,Bay Area,784812,3.83,153540,76367
2020,Bay Area,894098,4.46,147467,83971
2025,Bay Area,986243,4.46,162664,93573
2030,Bay Area,1078589,4.46,177895,103176
2035,Bay Area,1171963,4.46,193296,112779
2040,Bay Area,1264768,4.46,208603,122382
1991,Contra Costa,222898,9.34,69408,28891
1992,Contra Costa,220363,8.11,62412,30769
1993,Contra Costa,214086,7.13,56016,31685
1994,Contra Costa,209680,7.49,56532,32090
1995,Contra Costa,205093,7.85,56916,33003
1996,Contra Costa,204399,7.74,56208,34338
1997,Contra Costa,209257,7.68,57264,36192
1998,Contra Costa,227847,7.1,59484,38199
1999,Contra Costa,248338,7.25,65628,40954
2000,Contra Costa,301784,7.96,84480,42914
2001,Contra Costa,346690,7.03,89988,44744
2002,Contra Costa,377351,6.51,93756,46015
2003,Contra Costa,406685,5.73,94512,46660
2004,Contra Costa,469244,5.74,109104,49643
2005,Contra Costa,588389,5.9,138744,51515
2006,Contra Costa,634230,6.6,158772,53149
2007,Contra Costa,638750,6.49,158460,55336
2008,Contra Costa,333790,6.14,80352,56306
2009,Contra Costa,260590,5.14,57468,56199
2010,Contra Costa,296380,4.91,64032,57552
2011,Contra Costa,281240,4.68,59496,59146
2012,Contra Costa,324750,3.77,63180,60142
2013,Contra Costa,446300,3.98,88536,60855
2014,Contra Costa,489630,4.28,99888,61920
2015,Contra Costa,525000,4.03,104628,63792
2016,Contra Costa,565000,3.83,110544,65187
2020,Contra Costa,1006783,4.46,166052,72576
2025,Contra Costa,1043886,4.46,172172,80117
2030,Contra Costa,1111152,4.46,183266,87659
2035,Contra Costa,1158817,4.46,191128,95200
2040,Contra Costa,1298705,4.46,214200,102741
1991,Marin,348040,9.34,108372,27763
1992,Marin,338000,8.11,95748,29109
1993,Marin,333420,7.13,87252,29225
1994,Marin,347230,7.49,93576,30126
1995,Marin,344600,7.85,95616,31552
1996,Marin,364840,7.74,100344,33368
1997,Marin,380930,7.68,104280,35228
1998,Marin,431810,7.1,112740,37703
1999,Marin,518770,7.25,137100,39257
2000,Marin,643250,7.96,180072,42867
2001,Marin,673510,7.03,174816,43547
2002,Marin,715010,6.51,177648,45269
2003,Marin,738880,5.73,171672,48051
2004,Marin,871700,5.74,202692,50539
2005,Marin,976720,5.9,230328,52678
2006,Marin,965080,6.6,241632,54697
2007,Marin,1037540,6.49,257364,55725
2008,Marin,962190,6.14,231660,56106
2009,Marin,778290,5.14,171648,55492
2010,Marin,810880,4.91,175176,56134
2011,Marin,758040,4.68,160392,57948
2012,Marin,784320,3.77,152592,58943
2013,Marin,938920,3.98,186264,59427
2014,Marin,1021400,4.28,208344,61953
2015,Marin,1100000,4.03,219240,64906
2016,Marin,1189000,3.83,232608,67211
2020,Marin,1438804,4.46,237307,71624
2025,Marin,1548712,4.46,255434,77060
2030,Marin,1656842,4.46,273269,82496
2035,Marin,1750302,4.46,288683,87932
2040,Marin,1837088,4.46,302997,93368
1991,Napa,183680,9.34,57168,22207
1992,Napa,189720,8.11,53724,23451
1993,Napa,183900,7.13,48144,23863
1994,Napa,186150,7.49,50160,24516
1995,Napa,183550,7.85,50928,25500
1996,Napa,180000,7.74,49524,26091
1997,Napa,200440,7.68,54864,27179
1998,Napa,205600,7.1,53652,28606
1999,Napa,255780,7.25,67608,30616
2000,Napa,301490,7.96,84384,33104
2001,Napa,333560,7.03,86592,34684
2002,Napa,383050,6.51,95184,35579
2003,Napa,464240,5.73,107868,36915
2004,Napa,545700,5.74,126900,39026
2005,Napa,655720,5.9,154608,40180
2006,Napa,677910,6.6,169740,41788
2007,Napa,667690,6.49,165636,44171
2008,Napa,452900,6.14,109032,45061
2009,Napa,362190,5.14,79860,45174
2010,Napa,362460,4.91,78312,45250
2011,Napa,339740,4.68,71868,45926
2012,Napa,370910,3.77,72180,46575
2013,Napa,482540,3.98,95760,47089
2014,Napa,571540,4.28,116568,48189
2015,Napa,600000,4.03,119604,50650
2016,Napa,630000,3.83,123264,52173
2020,Napa,432647,4.46,71358,57390
2025,Napa,450107,4.46,74238,63531
2030,Napa,469881,4.46,77499,69673
2035,Napa,524849,4.46,86565,75815
2040,Napa,462767,4.46,76326,81957
1991,San Francisco,280720,9.34,87396,33464
1992,San Francisco,272340,8.11,77124,35941
1993,San Francisco,261600,7.13,68472,36970
1994,San Francisco,259560,7.49,69936,38319
1995,San Francisco,268635,7.85,74556,39708
1996,San Francisco,276782,7.74,76128,41535
1997,San Francisco,305851,7.68,83712,44655
1998,San Francisco,356859,7.1,93180,47641
1999,San Francisco,416244,7.25,110028,51580
2000,San Francisco,536058,7.96,150060,57723
2001,San Francisco,575353,7.03,149352,61068
