Year,MedHHPrice,County,,,,,,,,,,,
1990,227580,Alameda,,,,,,,,,,,
1991,229890,Alameda,,,,,,,,,,,
1992,223200,Alameda,,,,,,,,,,,
1993,217370,Alameda,,,,,,,,,,,
1994,210010,Alameda,,,,,,,,,,,
1995,207880,Alameda,,,,,,,,,,,
1996,215490,Alameda,,,,,,,,,,,
1997,230800,Alameda,,,,,,,,,,,
1998,256770,Alameda,,,,,,,,,,,
1999,289200,Alameda,,,,,,,,,,,
2000,371850,Alameda,,,,,,,,,,,
2001,399520,Alameda,,,,,,,,,,,
2002,447290,Alameda,,,,,,,,,,,
2003,477220,Alameda,,,,,,,,,,,
2004,580360,Alameda,,,,,,,,,,,
2005,661420,Alameda,,,,,,,,,,,
2006,667410,Alameda,,,,,,,,,,,
2007,678130,Alameda,,,,,,,,,,,
2008,475860,Alameda,,,,,,,,,,,
2009,381400,Alameda,,,,,,,,,,,
2010,436433,Alameda,,,,,,,,,,,
2011,398460,Alameda,,,,,,,,,,,
2012,433750,Alameda,,,,,,,,,,,
2013,577960,Alameda,,,,,,,,,,,
2014,657170,Alameda,,,,,,,,,,,
2015,726000,Alameda,,,,,,,,,,,
2016,780000,Alameda,,,,,,,,,,,
1990,22443,Contra Costa,,,,,,,,,,,
1991,22292,Contra Costa,,,,,,,,,,,
1992,22039,Contra Costa,,,,,,,,,,,
1993,21411,Contra Costa,,,,,,,,,,,
1994,20970,Contra Costa,,,,,,,,,,,
1995,20512,Contra Costa,,,,,,,,,,,
1996,20442,Contra Costa,,,,,,,,,,,
1997,20928,Contra Costa,,,,,,,,,,,
1998,22787,Contra Costa,,,,,,,,,,,
1999,24837,Contra Costa,,,,,,,,,,,
2000,30182,Contra Costa,,,,,,,,,,,
2001,34673,Contra Costa,,,,,,,,,,,
2002,37739,Contra Costa,,,,,,,,,,,
2003,40673,Contra Costa,,,,,,,,,,,
2004,46930,Contra Costa,,,,,,,,,,,
2005,58845,Contra Costa,,,,,,,,,,,
2006,634230,Contra Costa,,,,,,,,,,,
2007,638750,Contra Costa,,,,,,,,,,,
2008,333790,Contra Costa,,,,,,,,,,,
2009,260590,Contra Costa,,,,,,,,,,,
2010,296380,Contra Costa,,,,,,,,,,,
2011,281240,Contra Costa,,,,,,,,,,,
2012,324750,Contra Costa,,,,,,,,,,,
2013,446300,Contra Costa,,,,,,,,,,,
2014,489630,Contra Costa,,,,,,,,,,,
2015,525000,Contra Costa,,,,,,,,,,,
2016,565000,Contra Costa,,,,,,,,,,,
1990,356800,Marin,,,,,,,,,,,
1991,348040,Marin,,,,,,,,,,,
1992,338000,Marin,,,,,,,,,,,
1993,333420,Marin,,,,,,,,,,,
1994,347230,Marin,,,,,,,,,,,
1995,344600,Marin,,,,,,,,,,,
1996,364840,Marin,,,,,,,,,,,
1997,380930,Marin,,,,,,,,,,,
1998,431810,Marin,,,,,,,,,,,
1999,518770,Marin,,,,,,,,,,,
2000,643250,Marin,,,,,,,,,,,
2001,673510,Marin,,,,,,,,,,,
2002,715010,Marin,,,,,,,,,,,
