,County,Year,Households,Jobs,AvgAnnualPay
0,Alameda,2040,734208,8332890,112132
1,Alameda,2020,614968,7004745,77887
2,Alameda,2025,637393,7238337,86448
3,Alameda,2030,668283,7575725,95009
4,Alameda,2035,696378,7896782,103570
5,Contra Costa,2035,461067,5182590,95200
6,Contra Costa,2030,440763,4937931,87659
7,Contra Costa,2020,399615,4489854,72576
8,Contra Costa,2040,475388,5377391,102741
9,Contra Costa,2025,422438,4737832,80117
10,Marin,2035,111350,1149857,87932
11,Marin,2030,111065,1141786,82496
12,Marin,2025,109374,1124824,77060
13,Marin,2020,108194,1113754,71624
14,Marin,2040,111588,1158563,93368
15,Napa,2040,54602,642185,81957
16,Napa,2020,50349,585443,57390
17,Napa,2025,52063,601364,63531
18,Napa,2030,53691,618415,69673
19,Napa,2035,54646,636631,75815
20,San Francisco,2030,436971,4790248,140288
21,San Francisco,2035,453241,4970205,153600
22,San Francisco,2025,424651,4647686,126975
23,San Francisco,2040,483119,5282779,166913
24,San Francisco,2020,408041,4478018,113663
25,San Mateo,2030,303053,3468334,156160
26,San Mateo,2035,308942,3570775,171533
27,San Mateo,2025,290868,3340938,140787
28,San Mateo,2040,318539,3710568,186905
29,San Mateo,2020,284821,3274521,125414
30,Santa Clara,2030,754945,8892301,168099
31,Santa Clara,2035,809183,9506274,184212
32,Santa Clara,2025,715884,8469325,151986
33,Santa Clara,2040,854434,10055178,200326
34,Santa Clara,2020,676709,8051194,135872
35,Solano,2030,159396,1769444,73370
36,Solano,2035,163381,1818472,79848
37,Solano,2040,169388,1890676,86326
38,Solano,2020,145898,1635399,60414
39,Solano,2025,153199,1705363,66892
40,Sonoma,2030,211103,2289273,66309
41,Sonoma,2035,216155,2353910,71806
42,Sonoma,2025,200508,2184693,60813
43,Sonoma,2040,219060,2396881,77302
44,Sonoma,2020,190660,2094854,55316
