,Year,Population,Employers,Employees,AvgAnnualPay,New Homes Constructed,HousingUnits,Avg.Median Home price,EstHouseholds,HHProdPerHouseholdGrowth
1,1991,43782.0,23314.0,-86841.0,1413.3333333333358,16396.0,2385091.0,234197,2268498.0,7.2276898635132145
2,1992,86476.0,11170.0,-54721.0,1840.4444444444453,16857.0,2401487.0,233964,2288446.0,7.366134049044636
3,1993,86217.0,6789.0,-8145.0,627.6666666666642,13781.0,2418344.0,232320,2308925.0,5.968578451010751
4,1994,60039.0,-2724.0,20897.0,856.5555555555547,14482.0,2432125.0,238903,2326344.0,6.225218626308061
5,1995,33433.0,14944.0,63663.0,1222.6666666666715,14371.0,2446607.0,239315,2344173.0,6.130520230375488
6,1996,45774.0,-2796.0,114351.0,1321.6666666666642,14641.0,2460978.0,247183,2361460.0,6.199977979724408
7,1997,87005.0,-6124.0,103986.0,2345.7777777777737,21330.0,2475619.0,268918,2377851.0,8.970284513201205
8,1998,103800.0,19941.0,121031.0,2074.3333333333358,23432.0,2496949.0,300666,2402456.0,9.753352402707895
9,1999,92328.0,5436.0,87968.0,3427.4444444444453,26665.0,2520381.0,346852,2429417.0,10.975884337682663
10,2000,98389.0,-10295.0,153878.0,6108.666666666664,24568.0,2547046.0,433890,2632156.0,9.333793285808287
11,2001,76236.0,3498.0,-60464.0,-466.55555555555475,26031.0,2571614.0,459898,2478536.0,10.502570872482789
12,2002,35554.0,5925.0,-172264.0,-545.222222222219,26850.0,2597645.0,492415,2495135.0,10.760940790778855
13,2003,14379.0,3781.0,-99421.0,1510.1111111111095,22853.0,2624495.0,533347,2512540.0,9.095576587835417
14,2004,12041.0,1479.0,-21189.0,2704.4444444444453,27564.0,2647348.0,622158,2526524.0,10.909850846459404
15,2005,5002.0,-1385.0,22047.0,2268.1111111111095,27432.0,2674912.0,685463,2543939.0,10.783277429215087
16,2006,15270.0,9995.0,61578.0,2398.3333333333358,23425.0,2702344.0,705118,2561334.0,9.145624897026314
17,2007,48492.0,856.0,48069.0,2898.7777777777737,24210.0,2725769.0,737634,2576661.0,9.395880948250468
18,2008,68961.0,16771.0,15978.0,453.11111111111677,18582.0,2749979.0,514364,2592269.0,7.168237555593189
19,2009,61564.0,1343.0,-189795.0,348.3333333333285,14559.0,2768561.0,392988,2601232.0,5.596963285089527
20,2010,55850.0,2428.0,-36229.0,1541.777777777781,7000.0,2783120.0,449088,2606494.0,2.685599890120599
21,2011,69704.0,8518.0,52390.0,2148.3333333333285,8552.0,2790120.0,414028,2621262.0,3.2625506340075887
22,2012,79651.0,-5810.0,118049.0,4036.6666666666715,9202.0,2798672.0,464912,2636016.0,3.4908741069856934
23,2013,97748.0,3216.0,121198.0,923.444444444438,14406.0,2807874.0,607240,2647386.0,5.441594085637682
24,2014,85915.0,9542.0,120687.0,2243.2222222222335,17307.0,2822280.0,677001,2663591.0,6.497619191535037
25,2015,87540.0,8381.0,140625.0,3274.0,15832.0,2839587.0,730536,2688271.0,5.889287203559463
26,2016,78268.0,7316.0,112418.0,2564.0,18572.0,2855419.0,784812,2708696.0,6.856435716669571
