Year,Net_Migration,Immigration,Domestic_Migration
1991,26173,45028,-18855
1992,32671,49980,-17309
1993,30248,50644,-20396
1994,-13351,41806,-55157
1995,-18169,32940,-51109
1996,15409,41153,-25744
1997,65206,43495,21711
1998,48477,34007,14470
1999,42419,28288,14131
2000,73140,49277,23863
2001,4137,64164,-60027
2002,-35043,50946,-85989
2003,-38240,46260,-84500
2004,-39587,44750,-84337
2005,-50900,40793,-91693
2006,-18470,42681,-61151
2007,13382,48769,-35387
2008,20441,50475,-30034
2009,237,40600,-40363
2010,864,33355,-32491
2011,37827,34036,3791
2012,53215,32109,21106
2013,51214,32075,19139
2014,52400,39512,12888
2015,46773,48715,-1942
2016,22237,51657,-29420
2017,15229,51041,-35812
