Month/QTR,Alameda,Contra Costa,Marin,Napa,San Francisco,San Mateo,Santa Clara,Solano,Sonoma,BayAreaAvg,Year
Jan-91,21,24,18,0,13,12,24,0,27,20,1991
Feb-91,20,27,18,0,13,18,25,0,26,21,1991
Mar-91,21,23,16,0,14,14,25,0,27,20,1991
Apr-91,18,21,16,0,13,14,23,0,28,19,1991
May-91,17,19,16,0,13,13,22,0,27,18,1991
Jun-91,20,20,15,0,12,13,21,0,25,18,1991
Jul-91,19,19,16,0,12,13,23,0,25,18,1991
Aug-91,20,24,16,0,13,12,23,0,25,19,1991
Sep-91,22,23,17,0,14,14,27,0,25,20,1991
Oct-91,24,24,18,0,15,15,28,0,28,22,1991
Nov-91,25,26,17,0,15,15,30,0,29,22,1991
Dec-91,24,24,18,0,16,19,29,0,28,23,1991
Jan-92,29,33,20,0,18,22,33,0,31,27,1991
Feb-92,28,31,27,0,17,18,33,0,30,26,1992
Mar-92,26,27,18,0,17,18,31,0,29,24,1992
Apr-92,25,23,23,0,16,21,30,0,29,24,1992
May-92,27,25,19,0,17,18,28,0,27,23,1992
Jun-92,26,23,20,0,16,17,31,0,27,23,1992
Jul-92,29,22,20,0,18,18,33,0,32,25,1992
Aug-92,29,18,19,0,18,21,37,0,33,25,1992
Sep-92,31,23,26,0,19,22,37,0,33,27,1992
Oct-92,32,25,25,0,21,23,38,0,33,28,1992
Nov-92,31,23,25,0,22,21,39,0,34,28,1992
Dec-92,30,26,24,0,22,24,35,0,32,28,1992
Jan-93,34,30,28,0,21,23,38,0,35,30,1993
Feb-93,37,29,27,0,24,25,40,0,37,31,1993
Mar-93,34,28,27,0,22,25,40,0,38,31,1993
Apr-93,34,28,30,0,22,26,41,0,37,31,1993
May-93,34,25,27,0,23,27,41,0,36,30,1993
Jun-93,32,25,24,0,22,27,40,0,36,29,1993
Jul-93,36,29,28,0,24,28,39,0,37,32,1993
Aug-93,34,28,27,0,25,28,41,0,38,32,1993
Sep-93,38,28,28,0,25,27,42,0,40,33,1993
Oct-93,40,31,30,0,25,28,44,0,41,34,1993
Nov-93,38,31,28,0,25,30,43,0,41,34,1993
Dec-93,40,30,31,0,25,30,43,0,41,34,1993
Jan-94,39,33,32,0,26,26,43,0,44,35,1994
Feb-94,40,29,28,0,27,31,43,0,41,34,1994
Mar-94,38,30,29,0,27,24,39,0,39,32,1994
Apr-94,35,29,23,0,23,26,38,0,40,31,1994
May-94,37,28,25,0,22,26,39,0,39,31,1994
Jun-94,33,25,25,0,21,24,35,0,36,28,1994
Jul-94,35,26,22,0,23,23,39,0,35,29,1994
Aug-94,36,26,23,0,23,22,36,0,36,29,1994
Sep-94,33,25,25,0,23,22,37,0,34,28,1994
Oct-94,34,25,26,0,25,24,39,0,34,30,1994
Nov-94,35,27,23,0,24,21,40,0,34,29,1994
Dec-94,33,26,23,0,21,22,38,0,34,28,1994
Jan-95,37,29,24,0,21,26,40,0,31,30,1995
Feb-95,35,28,24,0,22,25,35,0,34,29,1995
Mar-95,35,26,25,0,21,20,37,0,32,28,1995
Apr-95,34,25,23,0,20,23,37,0,33,28,1995
May-95,33,25,24,0,22,22,37,0,34,28,1995
Jun-95,33,23,24,0,20,24,33,0,35,27,1995
Jul-95,34,23,23,0,21,20,36,0,36,28,1995
Aug-95,34,22,21,0,21,22,34,0,36,27,1995
Sep-95,34,22,21,0,21,21,35,0,36,27,1995
Oct-95,36,24,26,0,25,23,37,0,37,30,1995
Nov-95,36,26,27,0,21,24,35,0,41,30,1995
Dec-95,38,29,24,0,24,27,38,0,40,31,1995
Jan-96,39,31,27,0,22,24,38,0,41,32,1996
Feb-96,39,29,26,0,24,28,40,0,38,32,1996
