Region,Year,MedPrice,MedPrice_IA,PercentChngPrice,PercentChngPriceIA,Source
Bay Area,1997,237011,382072,0,0,Zillow
Bay Area,1998,258770,404294,0.09,0.06,Zillow
Bay Area,1999,289989,434684,0.22,0.14,Zillow
Bay Area,2000,361724,519044,0.53,0.36,Zillow
Bay Area,2001,398409,542482,0.68,0.42,Zillow
Bay Area,2002,422444,565970,0.78,0.48,Zillow
Bay Area,2003,451962,595034,0.91,0.56,Zillow
Bay Area,2004,516705,672059,1.18,0.76,Zillow
Bay Area,2005,610006,778148,1.57,1.04,Zillow
Bay Area,2006,635394,785350,1.68,1.06,Zillow
Bay Area,2007,650570,778619,1.74,1.04,Zillow
Bay Area,2008,592506,687738,1.5,0.8,Zillow
Bay Area,2009,489435,563979,1.07,0.48,Zillow
Bay Area,2010,485451,551829,1.05,0.44,Zillow
Bay Area,2011,459931,509556,0.94,0.33,Zillow
Bay Area,2012,481193,519186,1.03,0.36,Zillow
Bay Area,2013,572673,604340,1.42,0.58,Zillow
Bay Area,2014,643700,660527,1.72,0.73,Zillow
Bay Area,2015,708428,708428,1.99,0.85,Zillow
