County,Year,MedPrice,MedPrice_IA,PercentChngPrice,PercentChngPriceIA,Source
Alameda County,1997,205292,330939,0,0,Zillow
Alameda County,1998,217771,340238,0.06,0.028099,Zillow
Alameda County,1999,247479,370963,0.21,0.120941,Zillow
Alameda County,2000,302492,434051,0.47,0.311573,Zillow
Alameda County,2001,348444,474449,0.7,0.433642,Zillow
Alameda County,2002,381488,511099,0.86,0.544388,Zillow
Alameda County,2003,407358,536311,0.98,0.620571,Zillow
Alameda County,2004,465267,605156,1.27,0.8286,Zillow
Alameda County,2005,551629,703680,1.69,1.12631,Zillow
Alameda County,2006,581250,718427,1.83,1.170873,Zillow
Alameda County,2007,593725,710586,1.89,1.147178,Zillow
Alameda County,2008,518083,601354,1.52,0.817112,Zillow
Alameda County,2009,418856,482651,1.04,0.458428,Zillow
Alameda County,2010,417690,474802,1.03,0.434711,Zillow
Alameda County,2011,390788,432952,0.9,0.308252,Zillow
Alameda County,2012,400592,432221,0.95,0.306043,Zillow
Alameda County,2013,489925,517016,1.39,0.562269,Zillow
Alameda County,2014,561438,576114,1.73,0.740844,Zillow
Alameda County,2015,614796,614796,1.99,0.857729,Zillow
Contra Costa County,1997,203467,327997,0,0,Zillow
Contra Costa County,1998,209542,327381,0.03,-0.001878,Zillow
Contra Costa County,1999,219396,328867,0.08,0.002652,Zillow
Contra Costa County,2000,262917,377264,0.29,0.150203,Zillow
Contra Costa County,2001,301579,410637,0.48,0.251951,Zillow
Contra Costa County,2002,338458,453450,0.66,0.38248,Zillow
Contra Costa County,2003,383244,504563,0.88,0.538313,Zillow
Contra Costa County,2004,440802,573335,1.17,0.747988,Zillow
Contra Costa County,2005,533029,679953,1.62,1.073043,Zillow
Contra Costa County,2006,555096,686101,1.73,1.091787,Zillow
Contra Costa County,2007,574754,687881,1.82,1.097215,Zillow
Contra Costa County,2008,495629,575291,1.44,0.75395,Zillow
Contra Costa County,2009,359458,414206,0.77,0.262835,Zillow
Contra Costa County,2010,325467,369969,0.6,0.127964,Zillow
Contra Costa County,2011,304490,337344,0.5,0.028495,Zillow
Contra Costa County,2012,319575,344808,0.57,0.051251,Zillow
Contra Costa County,2013,406540,429020,1,0.307998,Zillow
Contra Costa County,2014,460485,472523,1.26,0.440629,Zillow
Contra Costa County,2015,473875,473875,1.33,0.444752,Zillow
Marin County,1997,340500,548901,0,0,Zillow
Marin County,1998,361502,564799,0.06,0.028964,Zillow
Marin County,1999,401498,601833,0.18,0.096431,Zillow
Marin County,2000,501521,719641,0.47,0.311057,Zillow
Marin County,2001,546950,744739,0.61,0.356781,Zillow
Marin County,2002,580048,777120,0.7,0.415774,Zillow
Marin County,2003,619865,816088,0.82,0.486766,Zillow
Marin County,2004,694725,903604,1.04,0.646205,Zillow
Marin County,2005,798875,1019076,1.35,0.856574,Zillow
Marin County,2006,816317,1008971,1.4,0.838164,Zillow
Marin County,2007,870200,1041479,1.56,0.897388,Zillow
Marin County,2008,813542,944301,1.39,0.720348,Zillow
Marin County,2009,690335,795479,1.03,0.44922,Zillow
Marin County,2010,697644,793036,1.05,0.44477,Zillow
Marin County,2011,663363,734937,0.95,0.338924,Zillow
Marin County,2012,669931,722827,0.97,0.316861,Zillow
Marin County,2013,755350,797118,1.22,0.452207,Zillow
Marin County,2014,823800,845334,1.42,0.540048,Zillow
Marin County,2015,858242,858242,1.52,0.563563,Zillow
Napa County,1997,180040,290232,0,0,Zillow
Napa County,1998,188318,294221,0.05,0.013746,Zillow
Napa County,1999,213800,320480,0.19,0.10422,Zillow
Napa County,2000,259513,372379,0.44,0.283039,Zillow
Napa County,2001,313656,427081,0.74,0.471518,Zillow
Napa County,2002,357565,479048,0.99,0.650568,Zillow
Napa County,2003,433223,570363,1.41,0.965198,Zillow
Napa County,2004,503821,655302,1.8,1.257857,Zillow
Napa County,2005,579219,738874,2.22,1.545806,Zillow
Napa County,2006,586084,724402,2.26,1.495943,Zillow
Napa County,2007,581553,696018,2.23,1.398145,Zillow
Napa County,2008,495378,574999,1.75,0.981172,Zillow
Napa County,2009,399983,460904,1.22,0.588053,Zillow
Napa County,2010,361052,410421,1.01,0.414113,Zillow
Napa County,2011,335190,371355,0.86,0.279513,Zillow
Napa County,2012,347646,375095,0.93,0.292397,Zillow
Napa County,2013,424348,447813,1.36,0.542949,Zillow
Napa County,2014,482475,495087,1.68,0.705833,Zillow
Napa County,2015,526554,526554,1.92,0.814253,Zillow
San Francisco County,1997,286563,461952,0,0,Zillow
San Francisco County,1998,326500,510113,0.14,0.104257,Zillow
San Francisco County,1999,372221,557947,0.3,0.207804,Zillow
San Francisco County,2000,487321,699265,0.7,0.513719,Zillow
San Francisco County,2001,517208,704242,0.8,0.524493,Zillow
San Francisco County,2002,539558,722874,0.88,0.564826,Zillow
San Francisco County,2003,563442,741804,0.97,0.605804,Zillow
San Francisco County,2004,647917,842722,1.26,0.824264,Zillow
San Francisco County,2005,746875,952743,1.61,1.06243,Zillow
San Francisco County,2006,764875,945388,1.67,1.04651,Zillow
San Francisco County,2007,799063,956339,1.79,1.070215,Zillow
San Francisco County,2008,761271,883629,1.66,0.912817,Zillow
San Francisco County,2009,694990,800842,1.43,0.733605,Zillow
San Francisco County,2010,703888,800134,1.46,0.732072,Zillow
San Francisco County,2011,668908,741081,1.33,0.60424,Zillow
San Francisco County,2012,722621,779677,1.52,0.687789,Zillow
San Francisco County,2013,828248,874047,1.89,0.892076,Zillow
San Francisco County,2014,952321,977215,2.32,1.115405,Zillow
San Francisco County,2015,1107921,1107921,2.87,1.398348,Zillow
San Mateo County,1997,297158,479033,0,0,Zillow
San Mateo County,1998,330733,516727,0.11,0.078689,Zillow
