TotalPop,HouseholdPop,EstHouseholds,Year
6063929,5914746,2268498,1991
6150405,5996580,2288446,1992
6236622,6084002,2308925,1993
6296661,6144064,2326344,1994
6330094,6180022,2344173,1995
6375868,6226805,2361460,1996
6462873,6319290,2377851,1997
6566673,6424287,2402456,1998
6659001,6516283,2429417,1999
7216004,7061916,2632156,2000
6833626,6690747,2478536,2001
6869180,6725269,2495135,2002
6883559,6739520,2512540,2003
6895600,6751793,2526524,2004
6900602,6755414,2543939,2005
6915872,6769472,2561334,2006
6964364,6816732,2576661,2007
7033325,6883582,2592269,2008
7094889,6946320,2601232,2009
7147042,6999426,2606494,2010
7220091,7067538,2621262,2011
7301518,7150464,2636016,2012
7401400,7250714,2647386,2013
7487985,7336722,2663591,2014
7578345,7427734,2688271,2015
7652200,7503306,2708696,2016
7713754,7563392,2722436,2017
7772586,7622081,2733920,2018
