County,TotalPop,HouseholdPop,HouseholdSize,EstHouseholds,Year
Alameda,1284782,1251064,2.586205542,483745,1991
Contra Costa,814985,804506,2.639316834,304816,1991
Marin,231492,222716,2.32468034,95805,1991
Napa,111747,106004,2.531076144,41881,1991
San Francisco,724593,700802,2.273279313,308278,1991
San Mateo,651093,639282,2.626391188,243407,1991
Santa Clara,1501771,1468572,2.806689091,523240,1991
Solano,349396,335699,2.898654716,115812,1991
Sonoma,394070,386101,2.548285967,151514,1991
Alameda,1302709,1268169,2.614679013,485019,1992
Contra Costa,832229,820193,2.649176526,309603,1992
Marin,234380,225217,2.327487495,96764,1992
Napa,113457,107820,2.542564731,42406,1992
San Francisco,728487,705475,2.268007266,311055,1992
San Mateo,657980,646375,2.645056083,244371,1992
Santa Clara,1519153,1484194,2.814790511,527284,1992
Solano,359175,344960,2.934381327,117558,1992
Sonoma,402835,394177,2.553191352,154386,1992
Alameda,1318127,1284214,2.628973254,488485,1993
Contra Costa,848587,836354,2.653188506,315226,1993
Marin,236340,226875,2.33271299,97258,1993
Napa,115079,109627,2.547391658,43035,1993
San Francisco,736629,713506,2.279244198,313045,1993
San Mateo,664394,653039,2.664682216,245072,1993
Santa Clara,1542054,1508140,2.841788502,530701,1993
Solano,364627,350318,2.943972436,118995,1993
Sonoma,410785,401929,2.558297477,157108,1993
Alameda,1327526,1293336,2.626046948,492503,1994
Contra Costa,860963,848464,2.661513849,318790,1994
Marin,237352,227780,2.333070439,97631,1994
Napa,116039,110786,2.55473308,43365,1994
San Francisco,742795,720650,2.290373534,314643,1994
San Mateo,668711,657503,2.67495118,245800,1994
Santa Clara,1558454,1523910,2.852813107,534178,1994
Solano,368030,353944,2.936953383,120514,1994
Sonoma,416791,407691,2.565385099,158920,1994
Alameda,1333031,1299619,2.620743824,495897,1995
Contra Costa,869176,857137,2.653962504,322965,1995
Marin,238053,228225,2.330491167,97930,1995
Napa,116817,111628,2.551555464,43749,1995
San Francisco,741615,719639,2.275264948,316288,1995
San Mateo,673274,662136,2.685365735,246572,1995
Santa Clara,1568225,1534872,2.856144386,537393,1995
Solano,368227,354445,2.902622183,122112,1995
Sonoma,421676,412321,2.556759907,161267,1995
Alameda,1340509,1307171,2.612899679,500276,1996
Contra Costa,878070,865892,2.650727663,326662,1996
Marin,238149,228255,2.335400104,97737,1996
Napa,117739,112527,2.556618349,44014,1996
San Francisco,741971,721006,2.267136231,318025,1996
San Mateo,677926,666958,2.692299619,247728,1996
Santa Clara,1586378,1553837,2.874516239,540556,1996
Solano,368121,353831,2.866862203,123421,1996
Sonoma,427005,417328,2.55965064,163041,1996
Alameda,1361330,1331751,2.641063524,504248,1997
Contra Costa,892630,881164,2.665452665,330587,1997
Marin,239616,229243,2.341268869,97914,1997
Napa,119130,114131,2.577542402,44279,1997
San Francisco,746762,726231,2.275373625,319170,1997
San Mateo,685153,674310,2.708137545,248994,1997
Santa Clara,1612739,1581112,2.909863204,543363,1997
Solano,371380,357170,2.867315319,124566,1997
Sonoma,434133,424178,2.574989377,164730,1997
Alameda,1389000,1361262,2.675220747,508841,1998
Contra Costa,910831,899592,2.687218274,334767,1998
Marin,241975,231069,2.33603599,98915,1998
Napa,120545,115483,2.595473547,44494,1998
San Francisco,753810,733503,2.277973776,321998,1998
San Mateo,693089,682424,2.725400768,250394,1998
Santa Clara,1638277,1607293,2.920386286,550370,1998
Solano,377121,361945,2.865506567,126311,1998
Sonoma,442025,431716,2.594977339,166366,1998
Alameda,1412315,1383976,2.684220428,515597,1999
Contra Costa,928482,917357,2.710048981,338502,1999
Marin,243767,232655,2.336221959,99586,1999
Napa,121913,116879,2.608033025,44815,1999
San Francisco,762359,742333,2.284073427,325004,1999
San Mateo,698333,687841,2.730979966,251866,1999
Santa Clara,1658055,1627593,2.917492122,557874,1999
Solano,384322,368871,2.887466829,127749,1999
Sonoma,449455,438778,2.605198784,168424,1999
Alameda,1437136,1409069,2.698704149,522128,2000
Contra Costa,944953,933657,2.720826339,343152,2000
Marin,246503,235393,2.341962571,100511,2000
Napa,123782,118591,2.614324765,45362,2000
San Francisco,773312,753493,2.293095997,328592,2000
San Mateo,705052,694559,2.735636666,253893,2000
Santa Clara,1676920,1647033,2.916393094,564750,2000
Solano,392833,376729,2.903454282,129752,2000
Sonoma,456899,445880,2.598171467,171613,2000
Sonoma,458614,447512,2.595732093,172403,2000
Alameda,1457185,1428914,2.716261864,526059,2001
Contra Costa,962076,950834,2.74946577,345825,2001
Marin,247590,236656,2.344637638,100935,2001
Napa,125396,120143,2.629697726,45687,2001
San Francisco,780614,760977,2.304405757,330227,2001
San Mateo,707965,697622,2.739661794,254638,2001
