County,Year,SFunits,MFunits,TOTALunits,SF_Share,MF_Share,Source
Alameda,1967,2810,2808,5618,0.5,0.5,CIRB
Alameda,1968,4021,3871,7892,0.51,0.49,CIRB
Alameda,1969,4027,4494,8521,0.47,0.53,CIRB
Alameda,1970,4758,5516,10274,0.46,0.54,CIRB
Alameda,1971,7042,6274,13316,0.53,0.47,CIRB
Alameda,1972,4566,7191,11757,0.39,0.61,CIRB
Alameda,1973,3437,3657,7094,0.48,0.52,CIRB
Alameda,1974,1788,1212,3000,0.6,0.4,CIRB
Alameda,1975,2655,817,3472,0.76,0.24,CIRB
Alameda,1976,2971,905,3876,0.77,0.23,CIRB
Alameda,1977,3453,1257,4710,0.73,0.27,CIRB
Alameda,1978,4054,2465,6519,0.62,0.38,CIRB
Alameda,1979,4129,2214,6343,0.65,0.35,CIRB
Alameda,1980,2743,2060,4803,0.57,0.43,CIRB
Alameda,1981,2359,1530,3889,0.61,0.39,CIRB
Alameda,1982,1928,1884,3812,0.51,0.49,CIRB
Alameda,1983,3841,2072,5913,0.65,0.35,CIRB
Alameda,1984,3711,3794,7505,0.49,0.51,CIRB
Alameda,1985,3867,4228,8095,0.48,0.52,CIRB
Alameda,1986,4225,5722,9947,0.42,0.58,CIRB
Alameda,1987,4489,4838,9327,0.48,0.52,CIRB
Alameda,1988,3417,3135,6552,0.52,0.48,CIRB
Alameda,1989,3067,2961,6028,0.51,0.49,CIRB
Alameda,1990,1633,1365,2998,0.54,0.46,CIRB
Alameda,1991,1331,1299,2630,0.51,0.49,CIRB
Alameda,1992,2337,741,3078,0.76,0.24,CIRB
Alameda,1993,2052,515,2567,0.8,0.2,CIRB
Alameda,1994,2352,776,3128,0.75,0.25,CIRB
Alameda,1995,2492,458,2950,0.84,0.16,CIRB
Alameda,1996,3102,796,3898,0.8,0.2,CIRB
Alameda,1997,4189,2311,6500,0.64,0.36,CIRB
Alameda,1998,3774,2123,5897,0.64,0.36,CIRB
Alameda,1999,3016,1495,4511,0.67,0.33,CIRB
Alameda,2000,2893,1315,4208,0.69,0.31,CIRB
Alameda,2001,1613,1623,3236,0.5,0.5,CIRB
Alameda,2002,2306,1266,3572,0.65,0.35,CIRB
Alameda,2003,2087,2433,4520,0.46,0.54,CIRB
Alameda,2004,2269,3422,5691,0.4,0.6,CIRB
Alameda,2005,1518,2898,4416,0.34,0.66,CIRB
Alameda,2006,1681,4035,5716,0.29,0.71,CIRB
Alameda,2007,1340,1911,3251,0.41,0.59,CIRB
Alameda,2008,761,1296,2057,0.37,0.63,CIRB
Alameda,2009,802,536,1338,0.6,0.4,CIRB
Alameda,2010,907,936,1843,0.49,0.51,CIRB
Alameda,2011,817,1352,2169,0.38,0.62,CHF
Alameda,2012,1119,1508,2627,0.43,0.57,CHF
Alameda,2013,1339,2023,3362,0.4,0.6,CHF
Alameda,2014,1076,2048,3124,0.34,0.66,CHF
Alameda,2015,1724,3307,5031,0.34,0.66,CHF
Contra Costa,1967,3166,1643,4809,0.66,0.34,CIRB
Contra Costa,1968,4166,1261,5427,0.77,0.23,CIRB
Contra Costa,1969,2862,3485,6347,0.45,0.55,CIRB
Contra Costa,1970,2178,4558,6736,0.32,0.68,CIRB
Contra Costa,1971,4852,6628,11480,0.42,0.58,CIRB
Contra Costa,1972,5687,3684,9371,0.61,0.39,CIRB
Contra Costa,1973,4723,2113,6836,0.69,0.31,CIRB
Contra Costa,1974,3269,768,4037,0.81,0.19,CIRB
Contra Costa,1975,3797,517,4314,0.88,0.12,CIRB
Contra Costa,1976,6122,1026,7148,0.86,0.14,CIRB
Contra Costa,1977,9059,1345,10404,0.87,0.13,CIRB
Contra Costa,1978,4993,1415,6408,0.78,0.22,CIRB
Contra Costa,1979,5557,775,6332,0.88,0.12,CIRB
Contra Costa,1980,4566,854,5420,0.84,0.16,CIRB
Contra Costa,1981,2523,585,3108,0.81,0.19,CIRB
Contra Costa,1982,1769,1035,2804,0.63,0.37,CIRB
Contra Costa,1983,4684,2516,7200,0.65,0.35,CIRB
Contra Costa,1984,4170,2212,6382,0.65,0.35,CIRB
Contra Costa,1985,4673,4727,9400,0.5,0.5,CIRB
Contra Costa,1986,6295,6769,13064,0.48,0.52,CIRB
Contra Costa,1987,5482,2950,8432,0.65,0.35,CIRB
Contra Costa,1988,5876,2228,8104,0.73,0.27,CIRB
Contra Costa,1989,5462,2208,7670,0.71,0.29,CIRB
Contra Costa,1990,3132,1149,4281,0.73,0.27,CIRB
Contra Costa,1991,2684,1268,3952,0.68,0.32,CIRB
Contra Costa,1992,3279,620,3899,0.84,0.16,CIRB
Contra Costa,1993,3006,427,3433,0.88,0.12,CIRB
Contra Costa,1994,3680,189,3869,0.95,0.05,CIRB
Contra Costa,1995,3047,307,3354,0.91,0.09,CIRB
Contra Costa,1996,3137,415,3552,0.88,0.12,CIRB
Contra Costa,1997,3093,421,3514,0.88,0.12,CIRB
Contra Costa,1998,3143,1106,4249,0.74,0.26,CIRB
Contra Costa,1999,4081,508,4589,0.89,0.11,CIRB
Contra Costa,2000,4344,1295,5639,0.77,0.23,CIRB
Contra Costa,2001,4152,984,5136,0.81,0.19,CIRB
Contra Costa,2002,5076,729,5805,0.87,0.13,CIRB
Contra Costa,2003,4965,1930,6895,0.72,0.28,CIRB
Contra Costa,2004,4222,1261,5483,0.77,0.23,CIRB
Contra Costa,2005,5452,860,6312,0.86,0.14,CIRB
Contra Costa,2006,3310,1178,4488,0.74,0.26,CIRB
Contra Costa,2007,2698,909,3607,0.75,0.25,CIRB
Contra Costa,2008,985,909,1894,0.52,0.48,CIRB
Contra Costa,2009,1038,163,1201,0.86,0.14,CIRB
Contra Costa,2010,809,890,1699,0.48,0.52,CIRB
Contra Costa,2011,718,355,1073,0.67,0.33,CHF
Contra Costa,2012,1188,949,2137,0.56,0.44,CHF
Contra Costa,2013,1585,370,1955,0.81,0.19,CHF
Contra Costa,2014,1439,588,2027,0.71,0.29,CHF
Contra Costa,2015,1874,556,2430,0.77,0.23,CHF
Marin,1967,800,302,1102,0.73,0.27,CIRB
Marin,1968,1000,497,1497,0.67,0.33,CIRB
Marin,1969,933,699,1632,0.57,0.43,CIRB
Marin,1970,834,470,1304,0.64,0.36,CIRB
Marin,1971,1644,1265,2909,0.57,0.43,CIRB
Marin,1972,1371,2251,3622,0.38,0.62,CIRB
Marin,1973,1235,2236,3471,0.36,0.64,CIRB
Marin,1974,960,451,1411,0.68,0.32,CIRB
Marin,1975,759,389,1148,0.66,0.34,CIRB
Marin,1976,857,388,1245,0.69,0.31,CIRB
Marin,1977,894,563,1457,0.61,0.39,CIRB
Marin,1978,1154,797,1951,0.59,0.41,CIRB
Marin,1979,518,176,694,0.75,0.25,CIRB
Marin,1980,751,179,930,0.81,0.19,CIRB
Marin,1981,302,234,536,0.56,0.44,CIRB
Marin,1982,328,69,397,0.83,0.17,CIRB
Marin,1983,362,423,785,0.46,0.54,CIRB
Marin,1984,629,482,1111,0.57,0.43,CIRB
Marin,1985,506,559,1065,0.48,0.52,CIRB
Marin,1986,579,365,944,0.61,0.39,CIRB
Marin,1987,888,471,1359,0.65,0.35,CIRB
Marin,1988,1004,382,1386,0.72,0.28,CIRB
Marin,1989,884,530,1414,0.63,0.37,CIRB
Marin,1990,353,454,807,0.44,0.56,CIRB
Marin,1991,260,173,433,0.6,0.4,CIRB
Marin,1992,259,43,302,0.86,0.14,CIRB
Marin,1993,221,80,301,0.73,0.27,CIRB
Marin,1994,318,33,351,0.91,0.09,CIRB
Marin,1995,337,241,578,0.58,0.42,CIRB
Marin,1996,348,394,742,0.47,0.53,CIRB
Marin,1997,420,178,598,0.7,0.3,CIRB
Marin,1998,604,109,713,0.85,0.15,CIRB
Marin,1999,699,37,736,0.95,0.05,CIRB
Marin,2000,479,154,633,0.76,0.24,CIRB
Marin,2001,188,187,375,0.5,0.5,CIRB
Marin,2002,288,152,440,0.65,0.35,CIRB
Marin,2003,652,60,712,0.92,0.08,CIRB
Marin,2004,585,442,1027,0.57,0.43,CIRB
Marin,2005,326,150,476,0.68,0.32,CIRB
Marin,2006,155,51,206,0.75,0.25,CIRB
Marin,2007,151,10,161,0.94,0.06,CIRB
Marin,2008,147,25,172,0.85,0.15,CIRB
Marin,2009,65,97,162,0.4,0.6,CIRB
Marin,2010,75,0,75,1,0,CIRB
Marin,2011,55,61,116,0.47,0.53,CHF
Marin,2012,67,50,117,0.57,0.43,CHF
Marin,2013,90,212,302,0.3,0.7,CHF
Marin,2014,112,76,188,0.6,0.4,CHF
Marin,2015,119,20,139,0.86,0.14,CHF
Napa,1967,537,251,788,0.68,0.32,CIRB
Napa,1968,618,202,820,0.75,0.25,CIRB
Napa,1969,501,229,730,0.69,0.31,CIRB
Napa,1970,487,426,913,0.53,0.47,CIRB
Napa,1971,751,659,1410,0.53,0.47,CIRB
Napa,1972,1006,169,1175,0.86,0.14,CIRB
Napa,1973,619,267,886,0.7,0.3,CIRB
Napa,1974,458,91,549,0.83,0.17,CIRB
Napa,1975,504,162,666,0.76,0.24,CIRB
Napa,1976,546,252,798,0.68,0.32,CIRB
Napa,1977,658,414,1072,0.61,0.39,CIRB
Napa,1978,637,321,958,0.66,0.34,CIRB
Napa,1979,337,35,372,0.91,0.09,CIRB
Napa,1980,320,116,436,0.73,0.27,CIRB
Napa,1981,252,106,358,0.7,0.3,CIRB
Napa,1982,249,307,556,0.45,0.55,CIRB
Napa,1983,530,316,846,0.63,0.37,CIRB
Napa,1984,372,318,690,0.54,0.46,CIRB
Napa,1985,342,475,817,0.42,0.58,CIRB
Napa,1986,469,138,607,0.77,0.23,CIRB
Napa,1987,518,9,527,0.98,0.02,CIRB
Napa,1988,859,115,974,0.88,0.12,CIRB
Napa,1989,884,82,966,0.92,0.08,CIRB
Napa,1990,652,55,707,0.92,0.08,CIRB
Napa,1991,419,337,756,0.55,0.45,CIRB
Napa,1992,313,104,417,0.75,0.25,CIRB
Napa,1993,291,124,415,0.7,0.3,CIRB
Napa,1994,382,12,394,0.97,0.03,CIRB
Napa,1995,299,17,316,0.95,0.05,CIRB
Napa,1996,228,4,232,0.98,0.02,CIRB
Napa,1997,350,0,350,1,0,CIRB
Napa,1998,455,28,483,0.94,0.06,CIRB
Napa,1999,597,123,720,0.83,0.17,CIRB
Napa,2000,531,4,535,0.99,0.01,CIRB
Napa,2001,773,134,907,0.85,0.15,CIRB
Napa,2002,610,584,1194,0.51,0.49,CIRB
Napa,2003,593,56,649,0.91,0.09,CIRB
Napa,2004,661,263,924,0.72,0.28,CIRB
Napa,2005,533,120,653,0.82,0.18,CIRB
Napa,2006,263,240,503,0.52,0.48,CIRB
Napa,2007,262,52,314,0.83,0.17,CIRB
Napa,2008,215,32,247,0.87,0.13,CIRB
Napa,2009,126,6,132,0.95,0.05,CIRB
Napa,2010,106,0,106,1,0,CIRB
Napa,2011,128,26,154,0.83,0.17,CHF
Napa,2012,133,20,153,0.87,0.13,CHF
Napa,2013,97,140,237,0.41,0.59,CHF
Napa,2014,103,49,152,0.68,0.32,CHF
Napa,2015,141,148,289,0.49,0.51,CHF
San Francisco,1967,111,1159,1270,0.09,0.91,CIRB
San Francisco,1968,118,1228,1346,0.09,0.91,CIRB
San Francisco,1969,77,675,752,0.1,0.9,CIRB
San Francisco,1970,144,1627,1771,0.08,0.92,CIRB
San Francisco,1971,175,3439,3614,0.05,0.95,CIRB
San Francisco,1972,169,3270,3439,0.05,0.95,CIRB
San Francisco,1973,286,3865,4151,0.07,0.93,CIRB
San Francisco,1974,223,1163,1386,0.16,0.84,CIRB
San Francisco,1975,276,866,1142,0.24,0.76,CIRB
San Francisco,1976,312,1310,1622,0.19,0.81,CIRB
San Francisco,1977,369,1167,1536,0.24,0.76,CIRB
San Francisco,1978,227,1818,2045,0.11,0.89,CIRB
San Francisco,1979,239,1594,1833,0.13,0.87,CIRB
San Francisco,1980,190,1012,1202,0.16,0.84,CIRB
San Francisco,1981,83,1159,1242,0.07,0.93,CIRB
San Francisco,1982,150,1065,1215,0.12,0.88,CIRB
San Francisco,1983,154,1058,1212,0.13,0.87,CIRB
San Francisco,1984,409,904,1313,0.31,0.69,CIRB
San Francisco,1985,173,1217,1390,0.12,0.88,CIRB
San Francisco,1986,139,1898,2037,0.07,0.93,CIRB
San Francisco,1987,155,2287,2442,0.06,0.94,CIRB
San Francisco,1988,157,1774,1931,0.08,0.92,CIRB
San Francisco,1989,147,1361,1508,0.1,0.9,CIRB
San Francisco,1990,161,916,1077,0.15,0.85,CIRB
San Francisco,1991,195,792,987,0.2,0.8,CIRB
San Francisco,1992,70,559,629,0.11,0.89,CIRB
San Francisco,1993,82,919,1001,0.08,0.92,CIRB
San Francisco,1994,107,841,948,0.11,0.89,CIRB
San Francisco,1995,106,409,515,0.21,0.79,CIRB
San Francisco,1996,201,1277,1478,0.14,0.86,CIRB
San Francisco,1997,210,1511,1721,0.12,0.88,CIRB
San Francisco,1998,184,2152,2336,0.08,0.92,CIRB
San Francisco,1999,114,3697,3811,0.03,0.97,CIRB
San Francisco,2000,79,3286,3365,0.02,0.98,CIRB
San Francisco,2001,96,1723,1819,0.05,0.95,CIRB
San Francisco,2002,88,1242,1330,0.07,0.93,CIRB
San Francisco,2003,73,1509,1582,0.05,0.95,CIRB
San Francisco,2004,65,2303,2368,0.03,0.97,CIRB
San Francisco,2005,53,2671,2724,0.02,0.98,CIRB
San Francisco,2006,100,2892,2992,0.03,0.97,CIRB
San Francisco,2007,57,2791,2848,0.02,0.98,CIRB
San Francisco,2008,52,2395,2447,0.02,0.98,CIRB
San Francisco,2009,21,282,303,0.07,0.93,CIRB
San Francisco,2010,25,749,774,0.03,0.97,CIRB
San Francisco,2011,30,1972,2002,0.01,0.99,CHF
San Francisco,2012,30,3145,3175,0.01,0.99,CHF
San Francisco,2013,69,5208,5277,0.01,0.99,CHF
San Francisco,2014,35,3035,3070,0.01,0.99,CHF
San Francisco,2015,66,3604,3670,0.02,0.98,CHF
San Mateo,1967,1765,900,2665,0.66,0.34,CIRB
San Mateo,1968,1667,1692,3359,0.5,0.5,CIRB
San Mateo,1969,1661,1438,3099,0.54,0.46,CIRB
San Mateo,1970,1281,4268,5549,0.23,0.77,CIRB
San Mateo,1971,2541,4602,7143,0.36,0.64,CIRB
San Mateo,1972,3025,5454,8479,0.36,0.64,CIRB
San Mateo,1973,2109,4047,6156,0.34,0.66,CIRB
San Mateo,1974,1566,600,2166,0.72,0.28,CIRB
San Mateo,1975,1323,609,1932,0.68,0.32,CIRB
San Mateo,1976,1813,1072,2885,0.63,0.37,CIRB
San Mateo,1977,2193,1646,3839,0.57,0.43,CIRB
San Mateo,1978,1185,1473,2658,0.45,0.55,CIRB
San Mateo,1979,1685,882,2567,0.66,0.34,CIRB
San Mateo,1980,1201,1106,2307,0.52,0.48,CIRB
San Mateo,1981,593,391,984,0.6,0.4,CIRB
San Mateo,1982,324,568,892,0.36,0.64,CIRB
San Mateo,1983,680,428,1108,0.61,0.39,CIRB
San Mateo,1984,816,1178,1994,0.41,0.59,CIRB
San Mateo,1985,1270,872,2142,0.59,0.41,CIRB
San Mateo,1986,1361,2144,3505,0.39,0.61,CIRB
San Mateo,1987,1310,1708,3018,0.43,0.57,CIRB
San Mateo,1988,1429,981,2410,0.59,0.41,CIRB
San Mateo,1989,1085,1335,2420,0.45,0.55,CIRB
San Mateo,1990,636,191,827,0.77,0.23,CIRB
San Mateo,1991,503,331,834,0.6,0.4,CIRB
San Mateo,1992,342,596,938,0.36,0.64,CIRB
San Mateo,1993,421,89,510,0.83,0.17,CIRB
San Mateo,1994,599,301,900,0.67,0.33,CIRB
San Mateo,1995,717,707,1424,0.5,0.5,CIRB
San Mateo,1996,673,432,1105,0.61,0.39,CIRB
San Mateo,1997,922,597,1519,0.61,0.39,CIRB
San Mateo,1998,988,1187,2175,0.45,0.55,CIRB
San Mateo,1999,768,133,901,0.85,0.15,CIRB
San Mateo,2000,846,1471,2317,0.37,0.63,CIRB
San Mateo,2001,722,719,1441,0.5,0.5,CIRB
San Mateo,2002,653,770,1423,0.46,0.54,CIRB
San Mateo,2003,735,569,1304,0.56,0.44,CIRB
San Mateo,2004,633,478,1111,0.57,0.43,CIRB
San Mateo,2005,427,465,892,0.48,0.52,CIRB
San Mateo,2006,445,492,937,0.47,0.53,CIRB
