Region,Year,SFunits,MFunits,TOTALunits,SF_Share,MF_Share,VeryLowunits,Lowunits,Moderateunits,AboveModerateunits,VeryLow_Share,Low_Share,Moderate_Share,AboveModerate_Share,Affordableunits,Affordableunits_Share,Source
Bay Area,1967,18717,10859,29576,0.6328,0.3672,,,,,,,,,,,CIRB
Bay Area,1968,23269,18211,41480,0.561,0.439,,,,,,,,,,,CIRB
Bay Area,1969,19165,24077,43242,0.4432,0.5568,,,,,,,,,,,CIRB
Bay Area,1970,18491,30200,48691,0.3798,0.6202,,,,,,,,,,,CIRB
Bay Area,1971,30842,35772,66614,0.463,0.537,,,,,,,,,,,CIRB
Bay Area,1972,30378,30622,61000,0.498,0.502,,,,,,,,,,,CIRB
Bay Area,1973,24909,24067,48976,0.5086,0.4914,,,,,,,,,,,CIRB
Bay Area,1974,17289,8827,26116,0.662,0.338,,,,,,,,,,,CIRB
Bay Area,1975,19217,6731,25948,0.7406,0.2594,,,,,,,,,,,CIRB
Bay Area,1976,28134,9529,37663,0.747,0.253,,,,,,,,,,,CIRB
Bay Area,1977,33406,12829,46235,0.7225,0.2775,,,,,,,,,,,CIRB
Bay Area,1978,25305,13615,38920,0.6502,0.3498,,,,,,,,,,,CIRB
Bay Area,1979,24405,9358,33763,0.7228,0.2772,,,,,,,,,,,CIRB
Bay Area,1980,18345,9507,27852,0.6587,0.3413,,,,,,,,,,,CIRB
Bay Area,1981,10416,6162,16578,0.6283,0.3717,,,,,,,,,,,CIRB
Bay Area,1982,8874,6805,15679,0.566,0.434,,,,,,,,,,,CIRB
Bay Area,1983,17937,12448,30385,0.5903,0.4097,,,,,,,,,,,CIRB
Bay Area,1984,18467,15212,33679,0.5483,0.4517,,,,,,,,,,,CIRB
Bay Area,1985,19739,24271,44010,0.4485,0.5515,,,,,,,,,,,CIRB
Bay Area,1986,23104,24314,47418,0.4872,0.5128,,,,,,,,,,,CIRB
Bay Area,1987,21701,17980,39681,0.5469,0.4531,,,,,,,,,,,CIRB
Bay Area,1988,24847,12938,37785,0.6576,0.3424,,,,,,,,,,,CIRB
Bay Area,1989,23134,12482,35616,0.6495,0.3505,,,,,,,,,,,CIRB
Bay Area,1990,12652,9324,21976,0.5757,0.4243,,,,,,,,,,,CIRB
Bay Area,1991,10511,6496,17007,0.618,0.382,,,,,,,,,,,CIRB
Bay Area,1992,11719,4159,15878,0.7381,0.2619,,,,,,,,,,,CIRB
Bay Area,1993,11001,4073,15074,0.7298,0.2702,,,,,,,,,,,CIRB
Bay Area,1994,13062,4434,17496,0.7466,0.2534,,,,,,,,,,,CIRB
Bay Area,1995,11748,3915,15663,0.75,0.25,,,,,,,,,,,CIRB
Bay Area,1996,14300,7409,21709,0.6587,0.3413,,,,,,,,,,,CIRB
Bay Area,1997,16790,9885,26675,0.6294,0.3706,,,,,,,,,,,CIRB
Bay Area,1998,16823,11724,28547,0.5893,0.4107,,,,,,,,,,,CIRB
Bay Area,1999,16399,10884,27283,0.6011,0.3989,,,,,,,,,,,CIRB
Bay Area,2000,16090,12562,28652,0.5616,0.4384,,,,,,,,,,,CIRB
Bay Area,2001,12652,11361,24013,0.5269,0.4731,,,,,,,,,,,CIRB
Bay Area,2002,14164,8409,22573,0.6275,0.3725,,,,,,,,,,,CIRB
Bay Area,2003,14947,13222,28169,0.5306,0.4694,,,,,,,,,,,CIRB
Bay Area,2004,14885,12187,27072,0.5498,0.4502,,,,,,,,,,,CIRB
Bay Area,2005,14686,12215,26901,0.5459,0.4541,,,,,,,,,,,CIRB
Bay Area,2006,10528,13780,24308,0.4331,0.5669,,,,,,,,,,,CIRB
Bay Area,2007,8953,9335,18288,0.4896,0.5104,,,,,,,,,,,CIRB
Bay Area,2008,4595,7988,12583,0.3652,0.6348,,,,,,,,,,,CIRB
Bay Area,2009,3873,1998,5871,0.6597,0.3403,,,,,,,,,,,CIRB
Bay Area,2010,3685,6503,10188,0.3617,0.6383,,,,,,,,,,,CIRB
Bay Area,2011,3774,6729,10503,0.3593,0.6407,,,,,,,,,,,CHF
Bay Area,2012,4982,10965,15947,0.3124,0.6876,,,,,,,,,,,CHF
Bay Area,2013,6208,15815,22023,0.2819,0.7181,,,,,,,,,,,CHF
Bay Area,2014,5613,16995,22608,0.2483,0.7517,1372,1169,952,18927,0.0607,0.0517,0.0421,0.8372,2541,0.1124,ABAG
Bay Area,2015,6208,15926,22134,0.2805,0.7195,901,2414,1322,17497,0.0407,0.1091,0.0597,0.7905,3315,0.1501,ABAG
Bay Area,2016,6445,14884,21329,0.3022,0.6978,1301,983,1492,17553,0.061,0.0461,0.07,0.823,2284,0.1071,ABAG
