County,Year,SFunits,MFunits,TOTALunits,SF_Share,MF_Share,VeryLowunits,Lowunits,Moderateunits,AboveModerateunits,VeryLow_Share,Low_Share,Moderate_Share,AboveModerate_Share,Affordableunits,Affordableunits_Share,Source
Alameda County,1967,2810,2808,5618,0.5002,0.4998,,,,,,,,,,,CIRB
Contra Costa County,1967,3166,1643,4809,0.6583,0.3417,,,,,,,,,,,CIRB
Marin County,1967,800,302,1102,0.726,0.274,,,,,,,,,,,CIRB
Napa County,1967,537,251,788,0.6815,0.3185,,,,,,,,,,,CIRB
San Francisco County,1967,111,1159,1270,0.0874,0.9126,,,,,,,,,,,CIRB
San Mateo County,1967,1765,900,2665,0.6623,0.3377,,,,,,,,,,,CIRB
Santa Clara County,1967,7486,2755,10241,0.731,0.269,,,,,,,,,,,CIRB
Solano County,1967,903,816,1719,0.5253,0.4747,,,,,,,,,,,CIRB
Sonoma County,1967,1139,225,1364,0.835,0.165,,,,,,,,,,,CIRB
Alameda County,1968,4021,3871,7892,0.5095,0.4905,,,,,,,,,,,CIRB
Contra Costa County,1968,4166,1261,5427,0.7676,0.2324,,,,,,,,,,,CIRB
Marin County,1968,1000,497,1497,0.668,0.332,,,,,,,,,,,CIRB
Napa County,1968,618,202,820,0.7537,0.2463,,,,,,,,,,,CIRB
San Francisco County,1968,118,1228,1346,0.0877,0.9123,,,,,,,,,,,CIRB
San Mateo County,1968,1667,1692,3359,0.4963,0.5037,,,,,,,,,,,CIRB
Santa Clara County,1968,9398,8165,17563,0.5351,0.4649,,,,,,,,,,,CIRB
Solano County,1968,815,928,1743,0.4676,0.5324,,,,,,,,,,,CIRB
Sonoma County,1968,1466,367,1833,0.7998,0.2002,,,,,,,,,,,CIRB
Alameda County,1969,4027,4494,8521,0.4726,0.5274,,,,,,,,,,,CIRB
Contra Costa County,1969,2862,3485,6347,0.4509,0.5491,,,,,,,,,,,CIRB
Marin County,1969,933,699,1632,0.5717,0.4283,,,,,,,,,,,CIRB
Napa County,1969,501,229,730,0.6863,0.3137,,,,,,,,,,,CIRB
San Francisco County,1969,77,675,752,0.1024,0.8976,,,,,,,,,,,CIRB
San Mateo County,1969,1661,1438,3099,0.536,0.464,,,,,,,,,,,CIRB
Santa Clara County,1969,6812,11792,18604,0.3662,0.6338,,,,,,,,,,,CIRB
Solano County,1969,721,461,1182,0.61,0.39,,,,,,,,,,,CIRB
Sonoma County,1969,1571,804,2375,0.6615,0.3385,,,,,,,,,,,CIRB
Alameda County,1970,4758,5516,10274,0.4631,0.5369,,,,,,,,,,,CIRB
Contra Costa County,1970,2178,4558,6736,0.3233,0.6767,,,,,,,,,,,CIRB
Marin County,1970,834,470,1304,0.6396,0.3604,,,,,,,,,,,CIRB
Napa County,1970,487,426,913,0.5334,0.4666,,,,,,,,,,,CIRB
San Francisco County,1970,144,1627,1771,0.0813,0.9187,,,,,,,,,,,CIRB
San Mateo County,1970,1281,4268,5549,0.2309,0.7691,,,,,,,,,,,CIRB
Santa Clara County,1970,6316,11399,17715,0.3565,0.6435,,,,,,,,,,,CIRB
Solano County,1970,777,901,1678,0.4631,0.5369,,,,,,,,,,,CIRB
Sonoma County,1970,1716,1035,2751,0.6238,0.3762,,,,,,,,,,,CIRB
Alameda County,1971,7042,6274,13316,0.5288,0.4712,,,,,,,,,,,CIRB
Contra Costa County,1971,4852,6628,11480,0.4226,0.5774,,,,,,,,,,,CIRB
Marin County,1971,1644,1265,2909,0.5651,0.4349,,,,,,,,,,,CIRB
Napa County,1971,751,659,1410,0.5326,0.4674,,,,,,,,,,,CIRB
San Francisco County,1971,175,3439,3614,0.0484,0.9516,,,,,,,,,,,CIRB
San Mateo County,1971,2541,4602,7143,0.3557,0.6443,,,,,,,,,,,CIRB
Santa Clara County,1971,9302,10068,19370,0.4802,0.5198,,,,,,,,,,,CIRB
Solano County,1971,1658,1269,2927,0.5665,0.4335,,,,,,,,,,,CIRB
Sonoma County,1971,2877,1568,4445,0.6472,0.3528,,,,,,,,,,,CIRB
Alameda County,1972,4566,7191,11757,0.3884,0.6116,,,,,,,,,,,CIRB
Contra Costa County,1972,5687,3684,9371,0.6069,0.3931,,,,,,,,,,,CIRB
Marin County,1972,1371,2251,3622,0.3785,0.6215,,,,,,,,,,,CIRB
Napa County,1972,1006,169,1175,0.8562,0.1438,,,,,,,,,,,CIRB
San Francisco County,1972,169,3270,3439,0.0491,0.9509,,,,,,,,,,,CIRB
San Mateo County,1972,3025,5454,8479,0.3568,0.6432,,,,,,,,,,,CIRB
Santa Clara County,1972,9266,5630,14896,0.622,0.378,,,,,,,,,,,CIRB
Solano County,1972,2024,928,2952,0.6856,0.3144,,,,,,,,,,,CIRB
Sonoma County,1972,3264,2045,5309,0.6148,0.3852,,,,,,,,,,,CIRB
Alameda County,1973,3437,3657,7094,0.4845,0.5155,,,,,,,,,,,CIRB
Contra Costa County,1973,4723,2113,6836,0.6909,0.3091,,,,,,,,,,,CIRB
Marin County,1973,1235,2236,3471,0.3558,0.6442,,,,,,,,,,,CIRB
Napa County,1973,619,267,886,0.6986,0.3014,,,,,,,,,,,CIRB
San Francisco County,1973,286,3865,4151,0.0689,0.9311,,,,,,,,,,,CIRB
San Mateo County,1973,2109,4047,6156,0.3426,0.6574,,,,,,,,,,,CIRB
Santa Clara County,1973,7405,5449,12854,0.5761,0.4239,,,,,,,,,,,CIRB
Solano County,1973,2532,1000,3532,0.7169,0.2831,,,,,,,,,,,CIRB
Sonoma County,1973,2563,1433,3996,0.6414,0.3586,,,,,,,,,,,CIRB
Alameda County,1974,1788,1212,3000,0.596,0.404,,,,,,,,,,,CIRB
Contra Costa County,1974,3269,768,4037,0.8098,0.1902,,,,,,,,,,,CIRB
Marin County,1974,960,451,1411,0.6804,0.3196,,,,,,,,,,,CIRB
Napa County,1974,458,91,549,0.8342,0.1658,,,,,,,,,,,CIRB
San Francisco County,1974,223,1163,1386,0.1609,0.8391,,,,,,,,,,,CIRB
San Mateo County,1974,1566,600,2166,0.723,0.277,,,,,,,,,,,CIRB
Santa Clara County,1974,5823,3173,8996,0.6473,0.3527,,,,,,,,,,,CIRB
Solano County,1974,847,32,879,0.9636,0.0364,,,,,,,,,,,CIRB
Sonoma County,1974,2355,1337,3692,0.6379,0.3621,,,,,,,,,,,CIRB
Alameda County,1975,2655,817,3472,0.7647,0.2353,,,,,,,,,,,CIRB
Contra Costa County,1975,3797,517,4314,0.8802,0.1198,,,,,,,,,,,CIRB
Marin County,1975,759,389,1148,0.6611,0.3389,,,,,,,,,,,CIRB
Napa County,1975,504,162,666,0.7568,0.2432,,,,,,,,,,,CIRB
San Francisco County,1975,276,866,1142,0.2417,0.7583,,,,,,,,,,,CIRB
San Mateo County,1975,1323,609,1932,0.6848,0.3152,,,,,,,,,,,CIRB
Santa Clara County,1975,5700,2254,7954,0.7166,0.2834,,,,,,,,,,,CIRB
Solano County,1975,1972,495,2467,0.7994,0.2006,,,,,,,,,,,CIRB
Sonoma County,1975,2231,622,2853,0.782,0.218,,,,,,,,,,,CIRB
Alameda County,1976,2971,905,3876,0.7665,0.2335,,,,,,,,,,,CIRB
Contra Costa County,1976,6122,1026,7148,0.8565,0.1435,,,,,,,,,,,CIRB
Marin County,1976,857,388,1245,0.6884,0.3116,,,,,,,,,,,CIRB
Napa County,1976,546,252,798,0.6842,0.3158,,,,,,,,,,,CIRB
San Francisco County,1976,312,1310,1622,0.1924,0.8076,,,,,,,,,,,CIRB
San Mateo County,1976,1813,1072,2885,0.6284,0.3716,,,,,,,,,,,CIRB
Santa Clara County,1976,9318,3833,13151,0.7085,0.2915,,,,,,,,,,,CIRB
Solano County,1976,3032,142,3174,0.9553,0.0447,,,,,,,,,,,CIRB
Sonoma County,1976,3163,601,3764,0.8403,0.1597,,,,,,,,,,,CIRB
Alameda County,1977,3453,1257,4710,0.7331,0.2669,,,,,,,,,,,CIRB
Contra Costa County,1977,9059,1345,10404,0.8707,0.1293,,,,,,,,,,,CIRB
Marin County,1977,894,563,1457,0.6136,0.3864,,,,,,,,,,,CIRB
Napa County,1977,658,414,1072,0.6138,0.3862,,,,,,,,,,,CIRB
San Francisco County,1977,369,1167,1536,0.2402,0.7598,,,,,,,,,,,CIRB
San Mateo County,1977,2193,1646,3839,0.5712,0.4288,,,,,,,,,,,CIRB
Santa Clara County,1977,8446,4481,12927,0.6534,0.3466,,,,,,,,,,,CIRB
Solano County,1977,4707,711,5418,0.8688,0.1312,,,,,,,,,,,CIRB
Sonoma County,1977,3627,1245,4872,0.7445,0.2555,,,,,,,,,,,CIRB
Alameda County,1978,4054,2465,6519,0.6219,0.3781,,,,,,,,,,,CIRB
Contra Costa County,1978,4993,1415,6408,0.7792,0.2208,,,,,,,,,,,CIRB
Marin County,1978,1154,797,1951,0.5915,0.4085,,,,,,,,,,,CIRB
Napa County,1978,637,321,958,0.6649,0.3351,,,,,,,,,,,CIRB
San Francisco County,1978,227,1818,2045,0.111,0.889,,,,,,,,,,,CIRB
San Mateo County,1978,1185,1473,2658,0.4458,0.5542,,,,,,,,,,,CIRB
Santa Clara County,1978,7007,3492,10499,0.6674,0.3326,,,,,,,,,,,CIRB
Solano County,1978,3483,838,4321,0.8061,0.1939,,,,,,,,,,,CIRB
Sonoma County,1978,2565,996,3561,0.7203,0.2797,,,,,,,,,,,CIRB
Alameda County,1979,4129,2214,6343,0.651,0.349,,,,,,,,,,,CIRB
Contra Costa County,1979,5557,775,6332,0.8776,0.1224,,,,,,,,,,,CIRB
Marin County,1979,518,176,694,0.7464,0.2536,,,,,,,,,,,CIRB
Napa County,1979,337,35,372,0.9059,0.0941,,,,,,,,,,,CIRB
San Francisco County,1979,239,1594,1833,0.1304,0.8696,,,,,,,,,,,CIRB
San Mateo County,1979,1685,882,2567,0.6564,0.3436,,,,,,,,,,,CIRB
Santa Clara County,1979,6098,1938,8036,0.7588,0.2412,,,,,,,,,,,CIRB
Solano County,1979,2773,745,3518,0.7882,0.2118,,,,,,,,,,,CIRB
Sonoma County,1979,3069,999,4068,0.7544,0.2456,,,,,,,,,,,CIRB
Alameda County,1980,2743,2060,4803,0.5711,0.4289,,,,,,,,,,,CIRB
Contra Costa County,1980,4566,854,5420,0.8424,0.1576,,,,,,,,,,,CIRB
Marin County,1980,751,179,930,0.8075,0.1925,,,,,,,,,,,CIRB
Napa County,1980,320,116,436,0.7339,0.2661,,,,,,,,,,,CIRB
San Francisco County,1980,190,1012,1202,0.1581,0.8419,,,,,,,,,,,CIRB
San Mateo County,1980,1201,1106,2307,0.5206,0.4794,,,,,,,,,,,CIRB
Santa Clara County,1980,5071,2954,8025,0.6319,0.3681,,,,,,,,,,,CIRB
Solano County,1980,1724,554,2278,0.7568,0.2432,,,,,,,,,,,CIRB
Sonoma County,1980,1779,672,2451,0.7258,0.2742,,,,,,,,,,,CIRB
Alameda County,1981,2359,1530,3889,0.6066,0.3934,,,,,,,,,,,CIRB
Contra Costa County,1981,2523,585,3108,0.8118,0.1882,,,,,,,,,,,CIRB
Marin County,1981,302,234,536,0.5634,0.4366,,,,,,,,,,,CIRB
Napa County,1981,252,106,358,0.7039,0.2961,,,,,,,,,,,CIRB
San Francisco County,1981,83,1159,1242,0.0668,0.9332,,,,,,,,,,,CIRB
San Mateo County,1981,593,391,984,0.6026,0.3974,,,,,,,,,,,CIRB
Santa Clara County,1981,1997,1705,3702,0.5394,0.4606,,,,,,,,,,,CIRB
Solano County,1981,1102,211,1313,0.8393,0.1607,,,,,,,,,,,CIRB
Sonoma County,1981,1205,241,1446,0.8333,0.1667,,,,,,,,,,,CIRB
Alameda County,1982,1928,1884,3812,0.5058,0.4942,,,,,,,,,,,CIRB
Contra Costa County,1982,1769,1035,2804,0.6309,0.3691,,,,,,,,,,,CIRB
Marin County,1982,328,69,397,0.8262,0.1738,,,,,,,,,,,CIRB
Napa County,1982,249,307,556,0.4478,0.5522,,,,,,,,,,,CIRB
San Francisco County,1982,150,1065,1215,0.1235,0.8765,,,,,,,,,,,CIRB
San Mateo County,1982,324,568,892,0.3632,0.6368,,,,,,,,,,,CIRB
Santa Clara County,1982,1862,1080,2942,0.6329,0.3671,,,,,,,,,,,CIRB
Solano County,1982,966,477,1443,0.6694,0.3306,,,,,,,,,,,CIRB
Sonoma County,1982,1298,320,1618,0.8022,0.1978,,,,,,,,,,,CIRB
Alameda County,1983,3841,2072,5913,0.6496,0.3504,,,,,,,,,,,CIRB
Contra Costa County,1983,4684,2516,7200,0.6506,0.3494,,,,,,,,,,,CIRB
Marin County,1983,362,423,785,0.4611,0.5389,,,,,,,,,,,CIRB
Napa County,1983,530,316,846,0.6265,0.3735,,,,,,,,,,,CIRB
