County,Year,Total Annual Production,Total SF Housing Production,Total MF Housing Production,Total Mobile Housing Production,Source
Alameda County,1990,3601,2166,1378,57,DOF_E-8
Alameda County,1991,226,-236,395,67,DOF_E-8
Alameda County,1992,2652,2018,563,71,DOF_E-8
Alameda County,1993,3049,2693,282,74,DOF_E-8
Alameda County,1994,2617,2753,-233,97,DOF_E-8
Alameda County,1995,3515,3001,445,69,DOF_E-8
Alameda County,1996,3179,3336,-229,72,DOF_E-8
Alameda County,1997,4591,4414,108,69,DOF_E-8
Alameda County,1998,6022,4484,1465,73,DOF_E-8
Alameda County,1999,5601,4131,1392,78,DOF_E-8
Alameda County,2000,5126,3991,1105,30,DOF_E-8
Alameda County,2001,4071,2844,1207,20,DOF_E-8
Alameda County,2002,4513,2775,1724,14,DOF_E-8
Alameda County,2003,3608,2086,1523,-1,DOF_E-8
Alameda County,2004,4733,2752,1965,16,DOF_E-8
Alameda County,2005,4302,2546,1725,31,DOF_E-8
Alameda County,2006,4062,2167,1872,23,DOF_E-8
Alameda County,2007,5167,2077,3071,19,DOF_E-8
Alameda County,2008,4096,2000,2070,26,DOF_E-8
Alameda County,2009,3008,1605,1385,18,DOF_E-8
Alameda County,2010,879,972,-97,4,DOF_E-8
Alameda County,2011,1322,897,421,4,DOF_E-5
Alameda County,2012,2425,1100,1323,2,DOF_E-5
Alameda County,2013,2474,1293,1180,1,DOF_E-5
Alameda County,2014,2287,1151,1132,4,DOF_E-5
Alameda County,2015,2427,1332,1082,13,DOF_E-5
Alameda County,2016,3274,1740,1531,3,DOF_E-5
Alameda County,2017,5111,2020,3091,0,DOF_E-5
Contra Costa County,1990,4190,3057,1104,29,DOF_E-8
Contra Costa County,1991,4248,3167,1053,28,DOF_E-8
Contra Costa County,1992,5168,3395,1769,4,DOF_E-8
Contra Costa County,1993,3000,3088,-87,-1,DOF_E-8
Contra Costa County,1994,3608,3600,21,-13,DOF_E-8
Contra Costa County,1995,3155,3265,-115,5,DOF_E-8
Contra Costa County,1996,3363,3435,-79,7,DOF_E-8
Contra Costa County,1997,3703,3132,567,4,DOF_E-8
Contra Costa County,1998,3205,2974,218,13,DOF_E-8
Contra Costa County,1999,3932,3172,674,86,DOF_E-8
Contra Costa County,2000,3588,3382,228,-22,DOF_E-8
Contra Costa County,2001,4807,4021,808,-22,DOF_E-8
Contra Costa County,2002,4554,4334,228,-8,DOF_E-8
Contra Costa County,2003,5357,4552,836,-31,DOF_E-8
Contra Costa County,2004,6576,5100,1491,-15,DOF_E-8
Contra Costa County,2005,8208,5296,2925,-13,DOF_E-8
Contra Costa County,2006,5351,4476,890,-15,DOF_E-8
