County,Year,Jobs,PercentChng_1990,Source
Alameda County,1990,604200,0,EDD_CES
Alameda County,1991,607600,0.0056,EDD_CES
Alameda County,1992,597600,-0.0109,EDD_CES
Alameda County,1993,599400,-0.0079,EDD_CES
Alameda County,1994,597600,-0.0109,EDD_CES
Alameda County,1995,614200,0.0166,EDD_CES
Alameda County,1996,628500,0.0402,EDD_CES
Alameda County,1997,646900,0.0707,EDD_CES
Alameda County,1998,667500,0.1048,EDD_CES
Alameda County,1999,689700,0.1415,EDD_CES
Alameda County,2000,716000,0.185,EDD_CES
Alameda County,2001,724700,0.1994,EDD_CES
Alameda County,2002,705400,0.1675,EDD_CES
Alameda County,2003,701800,0.1615,EDD_CES
Alameda County,2004,696800,0.1533,EDD_CES
Alameda County,2005,702800,0.1632,EDD_CES
Alameda County,2006,712000,0.1784,EDD_CES
Alameda County,2007,714400,0.1824,EDD_CES
Alameda County,2008,707300,0.1706,EDD_CES
Alameda County,2009,663800,0.0986,EDD_CES
Alameda County,2010,653100,0.0809,EDD_CES
Alameda County,2011,660900,0.0938,EDD_CES
Alameda County,2012,680400,0.1261,EDD_CES
Alameda County,2013,699700,0.1581,EDD_CES
Alameda County,2015,746300,0.2352,EDD_CES
Contra Costa County,1991,285800,-0.0021,EDD_CES
Contra Costa County,1992,286700,0.001,EDD_CES
Contra Costa County,1993,288000,0.0056,EDD_CES
Contra Costa County,1994,292000,0.0196,EDD_CES
Contra Costa County,1995,295500,0.0318,EDD_CES
Contra Costa County,1996,300500,0.0492,EDD_CES
Contra Costa County,1997,313600,0.095,EDD_CES
Contra Costa County,1998,320500,0.1191,EDD_CES
Contra Costa County,1999,329200,0.1494,EDD_CES
Contra Costa County,2000,339000,0.1837,EDD_CES
Contra Costa County,2001,340700,0.1896,EDD_CES
Contra Costa County,2002,345700,0.2071,EDD_CES
Contra Costa County,2003,337400,0.1781,EDD_CES
Contra Costa County,2004,341000,0.1906,EDD_CES
Contra Costa County,2005,344200,0.2018,EDD_CES
Contra Costa County,2006,349200,0.2193,EDD_CES
Contra Costa County,2007,351400,0.227,EDD_CES
Contra Costa County,2008,344600,0.2032,EDD_CES
Contra Costa County,2009,327800,0.1446,EDD_CES
Contra Costa County,2010,318100,0.1107,EDD_CES
Contra Costa County,2011,319200,0.1145,EDD_CES
Contra Costa County,2012,327600,0.1439,EDD_CES
Contra Costa County,2013,337800,0.1795,EDD_CES
Contra Costa County,2014,344200,0.2018,EDD_CES
Contra Costa County,2015,350000,0.2221,EDD_CES
Marin County,1990,89200,0,EDD_CES
Marin County,1991,90800,0.0179,EDD_CES
Marin County,1992,90000,0.009,EDD_CES
Marin County,1993,90400,0.0135,EDD_CES
Marin County,1994,92000,0.0314,EDD_CES
Marin County,1995,93800,0.0516,EDD_CES
Marin County,1996,96500,0.0818,EDD_CES
Marin County,1997,100800,0.13,EDD_CES
Marin County,1998,104000,0.1659,EDD_CES
Marin County,1999,107300,0.2029,EDD_CES
