Residence_Geo,Year,Median_HH_Inc_PlaceOfResidence_IA,Median_HH_Inc_PlaceOfResidence_IA_PerChg1970,Source
Alameda County,1970,69267,0,Census 1970
Alameda County,1980,69274,0,Census 1980
Alameda County,1990,76802,0.11,Census 1990
Alameda County,2000,83861,0.21,Census 2000
Alameda County,2006,79628,0.15,ACS 1-year
Alameda County,2007,82270,0.19,ACS 1-year
Alameda County,2008,81709,0.18,ACS 1-year
Alameda County,2009,78824,0.14,ACS 1-year
Alameda County,2010,76353,0.1,ACS 1-year
Alameda County,2011,74847,0.08,ACS 1-year
Alameda County,2012,76066,0.1,ACS 1-year
Alameda County,2013,76402,0.1,ACS 1-year
Alameda County,2014,79232,0.14,ACS 1-year
Alameda County,2015,81717,0.18,ACS 1-year
Contra Costa County,1970,90550,0,Census 1970
Contra Costa County,1980,84721,-0.06,Census 1980
Contra Costa County,1990,92233,0.02,Census 1990
Contra Costa County,2000,95447,0.05,Census 2000
Contra Costa County,2006,91762,0.01,ACS 1-year
Contra Costa County,2007,91481,0.01,ACS 1-year
Contra Costa County,2008,91254,0.01,ACS 1-year
Contra Costa County,2009,86583,-0.04,ACS 1-year
Contra Costa County,2010,83801,-0.07,ACS 1-year
Contra Costa County,2011,82375,-0.09,ACS 1-year
Contra Costa County,2012,80034,-0.12,ACS 1-year
Contra Costa County,2013,83474,-0.08,ACS 1-year
Contra Costa County,2014,82462,-0.09,ACS 1-year
Contra Costa County,2015,83104,-0.08,ACS 1-year
Marin County,1970,95317,0,Census 1970
Marin County,1980,90960,-0.05,Census 1980
Marin County,1990,99305,0.04,Census 1990
Marin County,2000,106885,0.12,Census 2000
Marin County,2006,101057,0.06,ACS 1-year
Marin County,2007,100378,0.05,ACS 1-year
Marin County,2008,106766,0.12,ACS 1-year
Marin County,2009,102577,0.08,ACS 1-year
Marin County,2010,95335,0,ACS 1-year
Marin County,2011,85494,-0.1,ACS 1-year
Marin County,2012,97683,0.02,ACS 1-year
Marin County,2013,101921,0.07,ACS 1-year
Marin County,2014,98252,0.03,ACS 1-year
Marin County,2015,100662,0.06,ACS 1-year
Napa County,1970,68983,0,Census 1970
Napa County,1980,69966,0.01,Census 1980
Napa County,1990,75225,0.09,Census 1990
Napa County,2000,77554,0.12,Census 2000
Napa County,2006,82373,0.19,ACS 1-year
