Mon-Yr,CA,Alameda,Contra-Costa,Marin,Napa,San Francisco,San Mateo,Santa Clara,Solano,Sonoma,S.F. Bay Area,Year
Jan-90,"$194,952 ","$226,149 ",NA,"$346,153 ","$178,888 ","$287,499 ",NA,"$271,840 ",NA,"$174,022 ","$227,366 ",1990
Feb-90,"$196,273 ","$219,306 ",NA,"$338,333 ","$186,363 ","$300,877 ",NA,"$273,100 ",NA,"$180,294 ","$234,739 ",1990
Mar-90,"$194,856 ","$225,162 ",NA,"$358,571 ","$180,000 ","$290,151 ",NA,"$275,500 ",NA,"$178,823 ","$235,337 ",1990
Apr-90,"$196,111 ","$229,333 ",NA,"$359,574 ","$158,571 ","$288,725 ",NA,"$274,660 ",NA,"$184,117 ","$233,178 ",1990
May-90,"$195,281 ","$232,291 ",NA,"$374,999 ","$187,692 ","$282,626 ",NA,"$266,670 ",NA,"$185,844 ","$235,881 ",1990
Jun-90,"$194,410 ","$231,250 ",NA,"$394,185 ","$177,332 ","$305,738 ",NA,"$276,960 ",NA,"$185,333 ","$240,386 ",1990
Jul-90,"$193,088 ","$232,916 ",NA,"$357,291 ","$184,166 ","$296,195 ",NA,"$273,600 ",NA,"$185,333 ","$241,503 ",1990
Aug-90,"$192,180 ","$228,467 ",NA,"$365,217 ","$172,499 ","$284,523 ",NA,"$273,340 ",NA,"$180,270 ","$237,727 ",1990
Sep-90,"$189,979 ","$225,000 ",NA,"$337,500 ","$177,499 ","$278,301 ",NA,"$258,060 ",NA,"$182,308 ","$225,569 ",1990
Oct-90,"$187,630 ","$221,093 ",NA,"$351,851 ","$197,777 ","$272,500 ",NA,"$253,470 ",NA,"$183,414 ","$227,917 ",1990
Nov-90,"$192,020 ","$226,126 ",NA,"$330,000 ","$189,090 ","$281,249 ",NA,"$257,450 ",NA,"$178,153 ","$229,791 ",1990
Dec-90,"$190,375 ","$218,161 ",NA,"$325,000 ","$185,000 ","$272,777 ",NA,"$254,720 ",NA,"$174,615 ","$222,261 ",1990
Jan-91,"$192,054 ","$216,532 ",NA,"$313,461 ","$168,333 ","$270,161 ","$328,889 ","$247,250 ",NA,"$178,461 ","$225,892 ",1991
Feb-91,"$194,806 ","$222,896 ",NA,"$312,500 ","$170,000 ","$270,714 ","$285,256 ","$243,870 ",NA,"$182,857 ","$226,188 ",1991
Mar-91,"$202,666 ","$221,768 ",NA,"$350,000 ","$165,555 ","$268,055 ","$317,910 ","$248,560 ",NA,"$183,469 ","$229,262 ",1991
Apr-91,"$207,718 ","$233,192 ",NA,"$341,666 ","$185,000 ","$279,941 ","$319,101 ","$262,460 ",NA,"$179,195 ","$231,764 ",1991
May-91,"$211,001 ","$239,885 ",NA,"$346,938 ","$181,000 ","$280,319 ","$333,474 ","$268,780 ",NA,"$184,038 ","$244,494 ",1991
Jun-91,"$206,722 ","$229,129 ",NA,"$367,021 ","$186,666 ","$291,666 ","$338,938 ","$277,450 ",NA,"$191,607 ","$242,687 ",1991
Jul-91,"$206,069 ","$234,042 ",NA,"$347,272 ","$187,272 ","$294,339 ","$334,183 ","$268,200 ",NA,"$191,304 ","$242,132 ",1991
Aug-91,"$200,340 ","$231,551 ",NA,"$350,000 ","$185,384 ","$286,499 ","$356,185 ","$267,250 ",NA,"$195,384 ","$234,388 ",1991
Sep-91,"$197,801 ","$224,811 ",NA,"$347,368 ","$210,000 ","$278,921 ","$327,118 ","$251,220 ",NA,"$196,666 ","$234,009 ",1991
Oct-91,"$196,021 ","$221,656 ",NA,"$342,307 ","$185,000 ","$275,862 ","$323,750 ","$250,000 ",NA,"$190,893 ","$231,509 ",1991
Nov-91,"$194,192 ","$221,098 ",NA,"$367,856 ","$200,000 ","$282,608 ","$331,666 ","$245,980 ",NA,"$190,513 ","$235,118 ",1991
Dec-91,"$199,452 ","$228,195 ",NA,"$355,882 ","$183,333 ","$279,310 ","$310,606 ","$256,250 ",NA,"$197,692 ","$232,916 ",1991
Jan-92,"$196,410 ","$212,500 ",NA,"$346,428 ","$188,571 ","$267,262 ","$300,000 ","$245,060 ",NA,"$193,548 ","$225,647 ",1992
Feb-92,"$198,220 ","$213,194 ",NA,"$293,478 ","$194,999 ","$268,750 ","$322,807 ","$243,370 ",NA,"$195,806 ","$229,372 ",1992
Mar-92,"$200,500 ","$222,837 ",NA,"$364,062 ","$200,000 ","$272,222 ","$326,190 ","$251,680 ",NA,"$198,666 ","$233,112 ",1992
Apr-92,"$198,700 ","$226,946 ",NA,"$315,454 ","$189,285 ","$281,418 ","$300,000 ","$254,670 ",NA,"$198,867 ","$231,791 ",1992
May-92,"$203,420 ","$221,220 ",NA,"$350,000 ","$185,000 ","$277,419 ","$324,609 ","$267,120 ",NA,"$205,063 ","$239,576 ",1992
Jun-92,"$199,460 ","$229,885 ",NA,"$342,045 ","$189,090 ","$288,207 ","$332,692 ","$256,010 ",NA,"$207,353 ","$238,395 ",1992
Jul-92,"$199,150 ","$222,153 ",NA,"$350,925 ","$203,125 ","$275,819 ","$336,315 ","$253,540 ",NA,"$195,686 ","$241,488 ",1992
Aug-92,"$194,670 ","$223,511 ",NA,"$369,736 ","$185,714 ","$279,166 ","$320,513 ","$242,810 ",NA,"$197,599 ","$236,352 ",1992
Sep-92,"$195,840 ","$219,496 ",NA,"$320,238 ","$186,666 ","$276,666 ","$316,316 ","$244,750 ",NA,"$198,490 ","$232,734 ",1992
Oct-92,"$194,000 ","$214,925 ",NA,"$333,333 ","$192,222 ","$265,151 ","$315,555 ","$243,530 ",NA,"$199,761 ","$232,589 ",1992
Nov-92,"$189,670 ","$217,514 ",NA,"$330,909 ","$188,333 ","$258,019 ","$323,500 ","$239,620 ",NA,"$195,000 ","$235,576 ",1992
Dec-92,"$193,330 ","$222,321 ",NA,"$338,000 ","$173,749 ","$258,807 ","$303,571 ","$253,130 ",NA,"$201,712 ","$230,941 ",1992
Jan-93,"$191,670 ","$209,583 ",NA,"$310,294 ","$177,999 ","$258,772 ","$312,903 ","$246,000 ",NA,"$194,411 ","$232,937 ",1993
Feb-93,"$187,440 ","$201,699 ",NA,"$323,333 ","$188,750 ","$251,667 ","$310,000 ","$242,240 ",NA,"$191,290 ","$226,438 ",1993
Mar-93,"$189,130 ","$216,313 ",NA,"$330,263 ","$174,999 ","$266,101 ","$313,855 ","$243,510 ",NA,"$190,500 ","$230,008 ",1993
Apr-93,"$192,600 ","$219,999 ",NA,"$315,625 ","$185,000 ","$265,530 ","$306,044 ","$242,740 ",NA,"$195,365 ","$226,603 ",1993
May-93,"$188,850 ","$219,897 ",NA,"$333,750 ","$187,777 ","$258,846 ","$300,000 ","$243,450 ",NA,"$201,415 ","$233,741 ",1993
Jun-93,"$188,650 ","$228,279 ",NA,"$354,081 ","$194,285 ","$267,021 ","$306,604 ","$247,920 ",NA,"$203,731 ","$238,268 ",1993
Jul-93,"$190,540 ","$215,408 ",NA,"$332,291 ","$187,143 ","$259,052 ","$296,950 ","$256,250 ",NA,"$201,235 ","$233,734 ",1993
Aug-93,"$189,010 ","$223,888 ",NA,"$342,727 ","$177,332 ","$259,052 ","$304,255 ","$250,630 ",NA,"$199,564 ","$233,881 ",1993
Sep-93,"$186,740 ","$212,005 ",NA,"$340,196 ","$186,250 ","$258,019 ","$315,464 ","$247,900 ",NA,"$192,941 ","$229,725 ",1993
Oct-93,"$185,920 ","$208,918 ",NA,"$334,782 ","$167,500 ","$262,500 ","$314,204 ","$242,250 ",NA,"$194,561 ","$228,931 ",1993
Nov-93,"$184,700 ","$215,714 ",NA,"$348,000 ","$182,500 ","$263,983 ","$296,785 ","$248,930 ",NA,"$193,333 ","$242,870 ",1993
Dec-93,"$184,980 ","$207,994 ",NA,"$324,166 ","$197,999 ","$265,384 ","$296,801 ","$249,360 ",NA,"$192,909 ","$230,708 ",1993
Jan-94,"$183,046 ","$207,822 ",NA,"$314,815 ","$188,888 ","$255,435 ","$320,454 ","$245,813 ","$148,000 ","$181,739 ","$231,829 ",1994
Feb-94,"$182,258 ","$204,389 ",NA,"$348,333 ","$178,420 ","$251,136 ","$291,249 ","$249,580 ","$137,726 ","$191,667 ","$234,173 ",1994
Mar-94,"$185,472 ","$209,117 ",NA,"$331,147 ","$180,000 ","$251,705 ","$333,593 ","$259,220 ","$158,461 ","$195,961 ","$241,769 ",1994
Apr-94,"$186,968 ","$217,890 ",NA,"$367,241 ","$178,332 ","$270,289 ","$316,270 ","$262,270 ","$139,354 ","$188,888 ","$241,086 ",1994
May-94,"$185,500 ","$205,494 ",NA,"$344,029 ","$197,142 ","$265,086 ","$308,333 ","$253,050 ","$146,666 ","$186,666 ","$236,686 ",1994
Jun-94,"$189,680 ","$216,705 ",NA,"$349,074 ","$192,857 ","$272,260 ","$318,085 ","$268,060 ","$156,922 ","$197,872 ","$250,809 ",1994
Jul-94,"$188,081 ","$205,912 ",NA,"$363,114 ","$225,000 ","$259,804 ","$323,333 ","$248,820 ","$163,043 ","$198,038 ","$242,173 ",1994
Aug-94,"$185,790 ","$203,947 ",NA,"$351,492 ","$187,272 ","$258,189 ","$324,272 ","$257,050 ",NA,"$193,000 ","$238,058 ",1994
Sep-94,"$185,158 ","$211,482 ",NA,"$341,509 ","$182,222 ","$257,954 ","$325,000 ","$257,520 ","$148,461 ","$197,391 ","$242,498 ",1994
Oct-94,"$181,862 ","$207,390 ",NA,"$335,294 ","$178,332 ","$247,856 ","$317,778 ","$248,580 ","$143,846 ","$196,666 ","$235,310 ",1994
Nov-94,"$180,907 ","$203,550 ",NA,"$352,777 ","$176,666 ","$252,419 ","$333,051 ","$245,330 ","$151,333 ","$198,444 ","$237,355 ",1994
Dec-94,"$177,421 ","$208,654 ",NA,"$351,041 ","$184,000 ","$261,734 ","$322,727 ","$249,540 ","$157,058 ","$193,958 ","$235,090 ",1994
Jan-95,"$177,200 ","$194,528 ",NA,"$340,384 ","$173,999 ","$261,666 ","$295,212 ","$238,994 ","$154,999 ","$204,268 ","$229,680 ",1995
Feb-95,"$172,974 ","$199,258 ",NA,"$334,091 ","$184,000 ","$257,692 ","$299,305 ","$255,000 ","$141,818 ","$190,769 ","$233,704 ",1995
Mar-95,"$175,274 ","$198,888 ",NA,"$325,641 ","$176,666 ","$259,375 ","$326,966 ","$246,539 ","$141,538 ","$198,157 ","$233,841 ",1995
Apr-95,"$176,768 ","$204,610 ",NA,"$339,473 ","$186,666 ","$264,796 ","$310,526 ","$248,205 ","$142,727 ","$197,499 ","$235,156 ",1995
May-95,"$176,448 ","$209,335 ",NA,"$341,176 ","$190,000 ","$255,102 ","$317,033 ","$248,926 ","$148,823 ","$195,365 ","$238,437 ",1995
Jun-95,"$180,649 ","$214,090 ",NA,"$345,967 ","$188,888 ","$277,403 ","$315,487 ","$268,037 ","$146,666 ","$196,111 ","$249,347 ",1995
Jul-95,"$180,253 ","$212,316 ",NA,"$356,122 ","$196,666 ","$268,055 ","$338,709 ","$256,457 ","$136,874 ","$194,687 ","$246,981 ",1995
Aug-95,"$182,467 ","$211,904 ",NA,"$368,548 ","$177,499 ","$269,186 ","$329,213 ","$265,624 ","$142,500 ","$196,599 ","$250,108 ",1995
Sep-95,"$180,529 ","$210,893 ",NA,"$350,000 ","$200,000 ","$267,222 ","$330,107 ","$261,363 ","$143,000 ","$197,999 ","$242,043 ",1995
Oct-95,"$175,861 ","$207,414 ",NA,"$333,673 ","$177,856 ","$245,634 ","$320,536 ","$254,167 ","$143,333 ","$196,922 ","$239,132 ",1995
Nov-95,"$176,203 ","$206,743 ",NA,"$325,000 ","$174,999 ","$267,262 ","$314,674 ","$261,718 ","$138,181 ","$184,883 ","$242,628 ",1995
Dec-95,"$175,372 ","$204,362 ",NA,"$353,658 ","$198,332 ","$256,522 ","$301,075 ","$253,080 ","$136,666 ","$193,750 ","$230,719 ",1995
Jan-96,"$174,859 ","$201,739 ",NA,"$333,333 ","$185,000 ","$270,833 ","$322,656 ","$254,942 ","$143,750 ","$189,564 ","$234,300 ",1996
Feb-96,"$170,860 ","$205,250 ",NA,"$340,322 ","$170,000 ","$263,281 ","$300,000 ","$248,676 ","$141,500 ","$201,219 ","$236,323 ",1996
Mar-96,"$175,975 ","$208,046 ",NA,"$361,538 ","$180,000 ","$266,279 ","$323,762 ","$268,156 ","$137,499 ","$198,386 ","$243,036 ",1996
Apr-96,"$178,536 ","$210,130 ",NA,"$368,749 ","$171,538 ","$284,848 ","$329,060 ","$266,319 ","$137,618 ","$184,528 ","$242,764 ",1996
May-96,"$179,095 ","$213,709 ",NA,"$376,414 ","$175,293 ","$281,122 ","$333,620 ","$275,814 ","$134,193 ","$190,000 ","$253,801 ",1996
Jun-96,"$181,191 ","$213,414 ",NA,"$390,322 ","$173,333 ","$275,000 ","$339,097 ","$279,942 ","$137,618 ","$188,333 ","$255,589 ",1996
Jul-96,"$182,416 ","$222,612 ",NA,"$377,026 ","$225,000 ","$270,339 ","$350,000 ","$290,932 ","$149,583 ","$185,714 ","$260,973 ",1996
Aug-96,"$180,825 ","$218,452 ",NA,"$360,605 ","$192,222 ","$271,428 ","$347,482 ","$275,146 ","$137,646 ","$185,454 ","$251,066 ",1996
Sep-96,"$179,740 ","$218,251 ",NA,"$354,651 ","$201,471 ","$272,857 ","$333,898 ","$271,318 ","$123,182 ","$190,798 ","$248,322 ",1996
Oct-96,"$174,454 ","$220,375 ",NA,"$355,172 ","$180,000 ","$255,102 ","$339,899 ","$275,510 ","$132,666 ","$185,434 ","$246,513 ",1996
Nov-96,"$175,495 ","$216,186 ",NA,"$363,953 ","$182,000 ","$270,833 ","$337,912 ","$281,801 ","$135,714 ","$181,316 ","$251,422 ",1996
Dec-96,"$171,940 ","$211,695 ",NA,"$359,183 ","$178,888 ","$276,171 ","$330,000 ","$281,207 ","$128,666 ","$174,722 ","$242,082 ",1996
Jan-97,"$175,625 ","$213,461 ",NA,"$358,163 ","$194,999 ","$262,778 ","$332,203 ","$283,654 ","$130,000 ","$187,674 ","$248,804 ",1997
Feb-97,"$167,790 ","$206,818 ",NA,"$320,000 ","$170,000 ","$271,052 ","$333,606 ","$283,333 ","$123,333 ","$186,799 ","$247,709 ",1997
Mar-97,"$177,735 ","$207,143 ",NA,"$376,470 ","$186,250 ","$281,632 ","$341,579 ","$292,024 ","$130,624 ","$186,190 ","$254,108 ",1997
Apr-97,"$181,218 ","$230,023 ",NA,"$384,425 ","$203,947 ","$280,208 ","$357,657 ","$315,517 ","$131,499 ","$199,428 ","$262,660 ",1997
May-97,"$185,010 ","$230,387 ",NA,"$403,509 ","$228,947 ","$284,648 ","$341,579 ","$292,024 ","$139,564 ","$198,048 ","$263,428 ",1997
Jun-97,"$188,801 ","$231,725 ",NA,"$384,166 ","$201,923 ","$285,999 ","$395,917 ","$318,801 ","$134,605 ","$196,136 ","$275,816 ",1997
Jul-97,"$190,625 ","$240,294 ",NA,"$380,898 ","$199,230 ","$295,672 ","$398,514 ","$326,587 ","$138,860 ","$204,611 ","$281,022 ",1997
Aug-97,"$191,856 ","$234,529 ",NA,"$378,915 ","$211,666 ","$315,942 ","$395,412 ","$329,303 ","$137,646 ","$192,553 ","$279,090 ",1997
Sep-97,"$191,600 ","$234,023 ",NA,"$383,087 ","$208,333 ","$305,634 ","$384,374 ","$327,947 ","$141,481 ","$195,645 ","$276,504 ",1997
Oct-97,"$189,283 ","$239,244 ",NA,"$395,521 ","$177,646 ","$293,283 ","$377,458 ","$330,678 ","$138,643 ","$194,444 ","$278,682 ",1997
Nov-97,"$190,763 ","$239,999 ",NA,"$378,905 ","$199,166 ","$314,286 ","$393,670 ","$329,108 ","$143,077 ","$190,816 ","$283,094 ",1997
Dec-97,"$186,555 ","$234,375 ",NA,"$384,677 ","$211,363 ","$335,294 ","$401,974 ","$341,365 ","$137,718 ","$190,192 ","$276,105 ",1997
Jan-98,"$188,094 ","$229,687 ",NA,"$371,621 ","$210,714 ","$302,586 ","$406,863 ","$326,666 ","$133,508 ","$206,818 ","$279,464 ",1998
Feb-98,"$183,898 ","$234,772 ",NA,"$387,777 ","$216,071 ","$304,167 ","$397,580 ","$322,988 ","$137,499 ","$199,696 ","$280,105 ",1998
Mar-98,"$193,909 ","$239,595 ",NA,"$405,769 ","$210,000 ","$306,849 ","$414,084 ","$351,158 ","$147,272 ","$201,136 ","$290,126 ",1998
Apr-98,"$198,252 ","$259,606 ",NA,"$429,166 ","$207,353 ","$348,765 ","$432,857 ","$371,575 ","$139,305 ","$202,631 ","$297,473 ",1998
May-98,"$202,956 ","$255,440 ",NA,"$425,000 ","$213,636 ","$358,426 ","$424,038 ","$378,548 ","$147,500 ","$218,499 ","$307,756 ",1998
Jun-98,"$209,003 ","$267,806 ",NA,"$429,411 ","$209,524 ","$331,034 ","$449,504 ","$383,870 ","$157,499 ","$227,614 ","$316,038 ",1998
Jul-98,"$210,831 ","$267,601 ",NA,"$458,181 ","$222,727 ","$356,521 ","$451,428 ","$380,781 ","$153,606 ","$225,000 ","$315,554 ",1998
Aug-98,"$207,780 ","$263,517 ",NA,"$422,093 ","$143,000 ","$341,145 ","$425,000 ","$373,300 ","$146,808 ","$224,205 ","$304,949 ",1998
Sep-98,"$202,138 ","$257,258 ",NA,"$456,818 ","$228,571 ","$339,423 ","$427,472 ","$366,547 ","$149,629 ","$221,897 ","$305,275 ",1998
Oct-98,"$194,961 ","$261,234 ",NA,"$436,904 ","$219,000 ","$335,344 ","$400,602 ","$356,985 ","$150,666 ","$220,057 ","$301,648 ",1998
Nov-98,"$197,058 ","$253,846 ",NA,"$438,571 ","$214,285 ","$355,101 ","$410,000 ","$354,498 ","$156,551 ","$225,231 ","$301,193 ",1998
Dec-98,"$198,121 ","$253,846 ",NA,"$417,442 ","$218,181 ","$349,561 ","$417,895 ","$369,969 ","$146,785 ","$222,876 ","$308,413 ",1998
Jan-99,"$202,201 ","$248,195 ",NA,"$445,000 ","$218,750 ","$344,303 ","$425,000 ","$350,000 ","$146,400 ","$224,350 ","$307,986 ",1999
Feb-99,"$197,870 ","$245,121 ",NA,"$469,999 ","$212,500 ","$340,833 ","$450,000 ","$353,000 ","$150,363 ","$232,187 ","$307,462 ",1999
Mar-99,"$212,330 ","$272,404 ",NA,"$467,441 ","$233,823 ","$372,825 ","$453,750 ","$383,750 ","$150,405 ","$235,747 ","$336,142 ",1999
Apr-99,"$216,490 ","$290,334 ",NA,"$526,562 ","$246,153 ","$382,473 ","$476,500 ","$394,875 ","$161,250 ","$244,642 ","$345,251 ",1999
May-99,"$220,410 ","$301,751 ",NA,"$553,571 ","$235,714 ","$387,999 ","$490,000 ","$395,000 ","$159,058 ","$249,144 ","$352,499 ",1999
Jun-99,"$224,678 ","$313,474 ",NA,"$532,738 ","$251,316 ","$431,579 ","$510,000 ","$410,000 ","$165,692 ","$260,126 ","$367,106 ",1999
Jul-99,"$220,529 ","$313,182 ",NA,"$544,753 ","$300,000 ","$410,145 ","$500,000 ","$409,000 ","$160,893 ","$256,183 ","$363,406 ",1999
Aug-99,"$224,195 ","$313,481 ",NA,"$545,454 ","$248,484 ","$398,112 ","$479,900 ","$415,000 ","$161,286 ","$259,091 ","$359,377 ",1999
9/1/1999,"$218,713 ","$285,163 ",NA,"$491,509 ","$269,230 ","$396,874 ","$460,000 ","$411,500 ","$160,937 ","$260,277 ","$352,872 ",1999
Oct-99,"$215,822 ","$312,879 ",NA,"$544,520 ","$260,000 ","$387,984 ","$479,000 ","$395,000 ","$163,461 ","$255,000 ","$358,007 ",1999
Nov-99,"$218,537 ","$302,842 ",NA,"$531,780 ","$281,818 ","$426,530 ","$463,500 ","$416,450 ","$167,818 ","$265,882 ","$354,236 ",1999
Dec-99,"$225,264 ","$292,804 ",NA,"$571,428 ","$289,999 ","$434,091 ","$488,000 ","$425,000 ","$162,453 ","$262,353 ","$357,885 ",1999
Jan-00,"$226,870 ","$323,795 ",NA,"$595,588 ","$270,833 ","$420,213 ","$534,500 ","$435,000 ","$167,561 ","$270,652 ","$377,046 ",2000
Feb-00,"$227,155 ","$327,747 ",NA,"$645,220 ","$270,000 ","$458,999 ","$533,000 ","$463,250 ","$171,333 ","$279,591 ","$388,192 ",2000
Mar-00,"$233,138 ","$348,034 ",NA,"$644,480 ","$297,058 ","$482,786 ","$624,444 ","$522,000 ","$184,418 ","$284,473 ","$422,563 ",2000
Apr-00,"$237,057 ","$371,064 ",NA,"$634,656 ","$284,374 ","$538,732 ","$650,000 ","$555,444 ","$180,545 ","$292,696 ","$445,103 ",2000
May-00,"$240,467 ","$369,383 ",NA,"$675,403 ","$317,742 ","$549,157 ","$650,000 ","$528,000 ","$191,128 ","$318,981 ","$444,900 ",2000
Jun-00,"$243,102 ","$391,288 ",NA,"$638,297 ","$297,221 ","$576,823 ","$575,000 ","$540,000 ","$195,151 ","$338,194 ","$450,785 ",2000
Jul-00,"$242,097 ","$372,433 ",NA,"$647,727 ","$298,332 ","$489,024 ","$595,000 ","$545,000 ","$196,490 ","$318,333 ","$442,082 ",2000
Aug-00,"$254,686 ","$359,120 ",NA,"$632,978 ","$295,832 ","$523,196 ","$602,000 ","$520,000 ","$203,306 ","$328,214 ","$440,087 ",2000
Sep-00,"$246,533 ","$361,250 ",NA,"$626,811 ","$334,091 ","$479,729 ","$586,000 ","$500,000 ","$202,083 ","$344,444 ","$431,832 ",2000
Oct-00,"$251,217 ","$393,343 ",NA,"$638,157 ","$314,815 ","$513,095 ","$620,000 ","$526,950 ","$208,863 ","$334,252 ","$447,459 ",2000
Nov-00,"$250,662 ","$406,364 ",NA,"$660,156 ","$322,916 ","$558,219 ","$585,000 ","$548,250 ","$208,219 ","$347,345 ","$464,236 ",2000
Dec-00,"$248,354 ","$410,952 ",NA,"$658,653 ","$300,000 ","$551,948 ","$625,000 ","$535,000 ","$208,854 ","$335,416 ","$452,396 ",2000
1-Jan,"$244,112 ","$391,303 ",NA,"$662,878 ","$335,294 ","$564,453 ","$649,950 ","$574,000 ","$211,956 ","$339,473 ","$453,991 ",2001
1-Feb,"$241,693 ","$400,962 ",NA,"$668,749 ","$301,923 ","$573,529 ","$671,000 ","$552,000 ","$223,287 ","$375,268 ","$466,938 ",2001
1-Mar,"$257,548 ","$421,542 ",NA,"$662,499 ","$315,000 ","$581,395 ","$612,500 ","$565,000 ","$229,279 ","$361,654 ","$473,912 ",2001
1-Apr,"$255,310 ","$426,373 ",NA,"$726,851 ","$326,000 ","$593,160 ","$595,000 ","$525,500 ","$240,089 ","$347,014 ","$463,207 ",2001
1-May,"$255,857 ","$394,444 ",NA,"$671,874 ","$355,263 ","$557,243 ","$589,000 ","$532,000 ","$235,688 ","$361,458 ","$461,369 ",2001
1-Jun,"$267,412 ","$405,389 ",NA,"$685,810 ","$329,032 ","$555,435 ","$584,500 ","$547,500 ","$240,584 ","$362,654 ","$473,139 ",2001
1-Jul,"$267,517 ","$404,872 ",NA,"$687,499 ","$304,762 ","$556,930 ","$591,000 ","$525,000 ","$244,160 ","$366,399 ","$468,331 ",2001
1-Aug,"$282,421 ","$408,836 ",NA,"$682,064 ","$342,647 ","$536,765 ","$575,000 ","$510,000 ","$245,129 ","$351,874 ","$462,573 ",2001
1-Sep,"$275,624 ","$385,210 ",NA,"$672,101 ","$384,090 ","$519,578 ","$571,000 ","$500,000 ","$244,564 ","$356,164 ","$449,405 ",2001
1-Oct,"$263,020 ","$388,753 ",NA,"$639,344 ","$325,000 ","$515,060 ","$582,000 ","$480,000 ","$237,194 ","$356,818 ","$441,176 ",2001
1-Nov,"$270,210 ","$389,887 ",NA,"$648,333 ","$371,428 ","$550,324 ","$569,500 ","$498,800 ","$233,514 ","$355,468 ","$452,263 ",2001
1-Dec,"$281,332 ","$394,957 ",NA,"$665,254 ","$337,931 ","$536,765 ","$574,950 ","$495,000 ","$243,181 ","$349,248 ","$452,474 ",2001
2-Jan,"$287,076 ","$390,576 ",NA,"$643,616 ","$343,750 ","$487,499 ","$570,000 ","$493,500 ","$239,822 ","$353,461 ","$449,052 ",2002
2-Feb,"$294,865 ","$405,181 ",NA,"$625,000 ","$335,714 ","$503,623 ","$575,000 ","$520,000 ","$241,666 ","$365,957 ","$464,169 ",2002
2-Mar,"$305,838 ","$403,448 ",NA,"$704,545 ","$351,020 ","$593,160 ","$612,500 ","$535,000 ","$250,926 ","$367,942 ","$485,311 ",2002
2-Apr,"$317,121 ","$455,749 ",NA,"$754,167 ","$365,999 ","$579,724 ","$641,000 ","$550,000 ","$260,271 ","$376,157 ","$499,835 ",2002
2-May,"$319,591 ","$447,773 ",NA,"$730,931 ","$389,188 ","$635,551 ","$645,000 ","$578,750 ","$267,835 ","$379,019 ","$509,243 ",2002
2-Jun,"$324,638 ","$471,222 ",NA,"$722,876 ","$424,193 ","$620,967 ","$629,000 ","$575,000 ","$273,046 ","$389,062 ","$525,163 ",2002
