County,Year,Population,PopChgPer,PopChangeNum,Net_Migration,Immigration,Domestic_Migration,
Alameda,1991,1293363,1.35,17263,3684,8600,-4916,
Alameda,1992,1312023,1.44,18660,5100,8716,-3616,
Alameda,1993,1324224,0.93,12201,-432,9436,-9868,
Alameda,1994,1330821,0.50,6597,-5262,7689,-12951,
Alameda,1995,1335230,0.33,4409,-6877,6344,-13221,
Alameda,1996,1345787,0.79,10557,-139,8681,-8820,
Alameda,1997,1376952,2.32,31165,19939,9027,10912,
Alameda,1998,1401090,1.75,24138,13128,7267,5861,
Alameda,1999,1423529,1.60,22439,11665,5687,5978,
Alameda,2000,1453116,2.08,29587,17918,10425,7493,
Alameda,2001,1465564,1.16,16796,4547,13735,-9188,
Alameda,2002,1468468,0.20,2904,-9443,11178,-20621,
Alameda,2003,1467187,-0.09,-1281,-13438,10248,-23686,
Alameda,2004,1465540,-0.11,-1647,-13467,10647,-24114,
Alameda,2005,1459882,-0.39,-5658,-16960,9524,-26484,
Alameda,2006,1464839,0.34,4957,-6663,9773,-16436,
Alameda,2007,1476401,0.79,11562,-460,11225,-11685,
Alameda,2008,1491781,1.04,15380,3362,11813,-8451,
Alameda,2009,1503827,0.81,12046,73,9314,-9241,
Alameda,2010,1513493,0.64,9666,-1280,7690,-8970,
Alameda,2011,1532186,1.11,16832,6688,8847,-2159,
Alameda,2012,1554698,1.47,22512,12792,7650,5142,
Alameda,2013,1576023,1.37,21325,11529,7316,4213,
Alameda,2014,1600366,1.54,24343,14192,11337,2855,
Alameda,2015,1621005,1.29,20639,10849,11855,-1006,
Alameda,2016,1637176,1.00,16171,6294,12571,-6277,
Alameda,2017,1650818,0.83,13642,4311,12421,-8110,
Contra Costa,1991,823658,2.15,17343,9866,3353,6513,
Contra Costa,1992,840825,2.08,17167,9584,3673,5911,
Contra Costa,1993,856384,1.85,15559,8709,3943,4766,
Contra Costa,1994,865554,1.07,9170,2695,3183,-488,
Contra Costa,1995,872804,0.84,7250,879,2792,-1913,
Contra Costa,1996,883351,1.21,10547,4516,4185,331,
Contra Costa,1997,901948,2.11,18597,12673,3732,8941,
Contra Costa,1998,919754,1.97,17806,12111,3145,8966,
Contra Costa,1999,937226,1.90,17472,11516,2463,9053,
Contra Costa,2000,956213,2.03,18987,12680,4271,8409,
Contra Costa,2001,970496,1.76,16821,10328,5140,5188,
Contra Costa,2002,978795,0.86,8299,2117,4200,-2083,
Contra Costa,2003,989705,1.11,10910,4510,4076,434,
Contra Costa,2004,998201,0.86,8496,2180,4169,-1989,
Contra Costa,2005,1004230,0.60,6029,-456,3662,-4118,
Contra Costa,2006,1010104,0.58,5874,-533,3932,-4465,
Contra Costa,2007,1021251,1.10,11147,4402,4875,-473,
Contra Costa,2008,1033292,1.18,12041,5646,4888,758,
Contra Costa,2009,1043501,0.99,10209,4155,4170,-15,
Contra Costa,2010,1052192,0.83,8691,3043,3159,-116,
Contra Costa,2011,1063888,1.16,12219,7124,2876,4248,
Contra Costa,2012,1075825,1.12,11937,6968,3292,3676,
Contra Costa,2013,1089906,1.31,14081,9105,3673,5432,
Contra Costa,2014,1103248,1.22,13342,8323,3836,4487,
Contra Costa,2015,1117459,1.29,14211,9207,5346,3861,
Contra Costa,2016,1129332,1.06,11873,7068,5669,1399,
Contra Costa,2017,1138039,0.77,8707,4294,5602,-1308,
Marin,1991,233078,1.39,3191,1992,794,1198,
Marin,1992,235668,1.11,2590,1313,849,464,
Marin,1993,237006,0.57,1338,183,952,-769,
Marin,1994,237695,0.29,689,-125,714,-839,
Marin,1995,238409,0.30,714,-87,679,-766,
Marin,1996,237880,-0.22,-529,-1321,817,-2138,
Marin,1997,241350,1.46,3470,2731,706,2025,
Marin,1998,242589,0.51,1239,443,556,-113,
Marin,1999,244931,0.97,2342,1545,475,1070,
Marin,2000,248181,1.33,3250,2341,678,1663,
Marin,2001,247731,0.12,307,-721,967,-1688,
Marin,2002,247382,-0.14,-349,-1295,737,-2032,
Marin,2003,247280,-0.04,-102,-1078,589,-1667,
Marin,2004,246684,-0.24,-596,-1621,493,-2114,
Marin,2005,246686,0.00,2,-1025,543,-1568,
Marin,2006,247247,0.23,561,-372,499,-871,
Marin,2007,248802,0.63,1555,599,634,-35,
Marin,2008,250288,0.60,1486,530,540,-10,
Marin,2009,251230,0.38,942,12,470,-458,
Marin,2010,252767,0.61,1537,802,476,326,
Marin,2011,254453,0.86,2167,1613,409,1204,
Marin,2012,255897,0.57,1444,989,492,497,
Marin,2013,258721,1.10,2824,2385,523,1862,
Marin,2014,261104,0.92,2383,1833,479,1354,
Marin,2015,261669,0.22,565,216,685,-469,
Marin,2016,262706,0.40,1037,643,726,-83,
Marin,2017,262545,-0.06,-161,-445,717,-1162,
Napa,1991,112467,1.31,1450,1006,291,715,
Napa,1992,114447,1.76,1980,1626,400,1226,
Napa,1993,115713,1.11,1266,888,419,469,
Napa,1994,116365,0.56,652,301,589,-288,
Napa,1995,117269,0.78,904,623,533,90,
Napa,1996,118209,0.80,940,747,761,-14,
Napa,1997,120051,1.56,1842,1614,734,880,
Napa,1998,121037,0.82,986,803,616,187,
Napa,1999,122788,1.45,1751,1478,636,842,
Napa,2000,124959,1.77,2171,1970,559,1411,
Napa,2001,126188,1.27,1587,1335,561,774,
Napa,2002,127942,1.39,1754,1453,389,1064,
Napa,2003,129422,1.16,1480,1113,416,697,
Napa,2004,130204,0.60,782,417,495,-78,
Napa,2005,130740,0.41,536,203,380,-177,
Napa,2006,131920,0.90,1180,630,474,156,
Napa,2007,133155,0.94,1235,701,513,188,
Napa,2008,134786,1.22,1631,1170,736,434,
Napa,2009,135664,0.65,878,321,622,-301,
Napa,2010,136681,0.75,1017,531,341,190,
Napa,2011,137234,0.70,953,594,391,203,
Napa,2012,138651,1.03,1417,1008,351,657,
