,Year,County,Avg.Median Home price,Interest_Rate,QualifyingIncome
0,1991,Alameda,229890,9.34,71580.0
1,1992,Alameda,223200,8.11,63228.0
2,1993,Alameda,217370,7.13,56880.0
3,1994,Alameda,210010,7.49,56616.0
4,1995,Alameda,207880,7.85,57684.0
5,1996,Alameda,215490,7.74,59268.0
6,1997,Alameda,230800,7.68,63180.0
7,1998,Alameda,256770,7.1,67008.0
8,1999,Alameda,289200,7.25,76428.0
9,2000,Alameda,371850,7.96,104100.0
10,2001,Alameda,399520,7.03,103692.0
11,2002,Alameda,447290,6.51,111132.0
12,2003,Alameda,477220,5.73,110868.0
13,2004,Alameda,580360,5.74,134976.0
14,2005,Alameda,661420,5.9,155940.0
15,2006,Alameda,667410,6.6,167100.0
16,2007,Alameda,678130,6.49,168192.0
17,2008,Alameda,475860,6.14,114576.0
18,2009,Alameda,381400,5.14,84108.0
19,2010,Alameda,436433,4.91,94272.0
20,2011,Alameda,398460,4.68,84288.0
21,2012,Alameda,433750,3.77,84396.0
22,2013,Alameda,577960,3.98,114672.0
23,2014,Alameda,657170,4.28,134064.0
24,2015,Alameda,726000,4.03,144720.0
25,2016,Alameda,780000,3.83,152604.0
26,1991,Contra Costa,222898,9.34,69408.0
27,1992,Contra Costa,220363,8.11,62412.0
28,1993,Contra Costa,214086,7.13,56016.0
29,1994,Contra Costa,209680,7.49,56532.0
30,1995,Contra Costa,205093,7.85,56916.0
31,1996,Contra Costa,204399,7.74,56208.0
32,1997,Contra Costa,209257,7.68,57264.0
33,1998,Contra Costa,227847,7.1,59484.0
34,1999,Contra Costa,248338,7.25,65628.0
35,2000,Contra Costa,301784,7.96,84480.0
36,2001,Contra Costa,346690,7.03,89988.0
37,2002,Contra Costa,377351,6.51,93756.0
38,2003,Contra Costa,406685,5.73,94512.0
39,2004,Contra Costa,469244,5.74,109104.0
40,2005,Contra Costa,588389,5.9,138744.0
41,2006,Contra Costa,634230,6.6,158772.0
42,2007,Contra Costa,638750,6.49,158460.0
43,2008,Contra Costa,333790,6.14,80352.0
44,2009,Contra Costa,260590,5.14,57468.0
45,2010,Contra Costa,296380,4.91,64032.0
46,2011,Contra Costa,281240,4.68,59496.0
47,2012,Contra Costa,324750,3.77,63180.0
48,2013,Contra Costa,446300,3.98,88536.0
49,2014,Contra Costa,489630,4.28,99888.0
50,2015,Contra Costa,525000,4.03,104628.0
51,2016,Contra Costa,565000,3.83,110544.0
52,1991,Marin,348040,9.34,108372.0
53,1992,Marin,338000,8.11,95748.0
54,1993,Marin,333420,7.13,87252.0
55,1994,Marin,347230,7.49,93576.0
56,1995,Marin,344600,7.85,95616.0
57,1996,Marin,364840,7.74,100344.0
58,1997,Marin,380930,7.68,104280.0
59,1998,Marin,431810,7.1,112740.0
60,1999,Marin,518770,7.25,137100.0
61,2000,Marin,643250,7.96,180072.0
62,2001,Marin,673510,7.03,174816.0
63,2002,Marin,715010,6.51,177648.0
64,2003,Marin,738880,5.73,171672.0
65,2004,Marin,871700,5.74,202692.0
66,2005,Marin,976720,5.9,230328.0
67,2006,Marin,965080,6.6,241632.0
68,2007,Marin,1037540,6.49,257364.0
69,2008,Marin,962190,6.14,231660.0
70,2009,Marin,778290,5.14,171648.0
71,2010,Marin,810880,4.91,175176.0
72,2011,Marin,758040,4.68,160392.0
73,2012,Marin,784320,3.77,152592.0
74,2013,Marin,938920,3.98,186264.0
75,2014,Marin,1021400,4.28,208344.0
76,2015,Marin,1100000,4.03,219240.0
77,2016,Marin,1189000,3.83,232608.0
78,1991,Napa,183680,9.34,57168.0
79,1992,Napa,189720,8.11,53724.0
80,1993,Napa,183900,7.13,48144.0
81,1994,Napa,186150,7.49,50160.0
82,1995,Napa,183550,7.85,50928.0
83,1996,Napa,180000,7.74,49524.0
84,1997,Napa,200440,7.68,54864.0
85,1998,Napa,205600,7.1,53652.0
86,1999,Napa,255780,7.25,67608.0
87,2000,Napa,301490,7.96,84384.0
88,2001,Napa,333560,7.03,86592.0
89,2002,Napa,383050,6.51,95184.0
90,2003,Napa,464240,5.73,107868.0
91,2004,Napa,545700,5.74,126900.0
92,2005,Napa,655720,5.9,154608.0
93,2006,Napa,677910,6.6,169740.0
