Region,Year,Population,PercentChng_1960,Source
Bay Area,1961,3793100,0.0424,DOF_E6
Bay Area,1962,3920900,0.0775,DOF_E6
Bay Area,1963,4046100,0.1119,DOF_E6
Bay Area,1964,4162400,0.1438,DOF_E6
Bay Area,1965,4258700,0.1703,DOF_E6
Bay Area,1966,4352000,0.196,DOF_E6
Bay Area,1967,4457500,0.2249,DOF_E6
Bay Area,1968,4517400,0.2414,DOF_E6
Bay Area,1969,4594400,0.2626,DOF_E6
Bay Area,1970,4632314,0.273,Census
Bay Area,1971,4677300,0.2853,DOF_E4
Bay Area,1972,4736600,0.3016,DOF_E4
Bay Area,1973,4779800,0.3135,DOF_E4
Bay Area,1974,4823900,0.3256,DOF_E4
Bay Area,1975,4869900,0.3383,DOF_E4
Bay Area,1976,4927700,0.3542,DOF_E4
Bay Area,1977,4988600,0.3709,DOF_E4
Bay Area,1978,5050200,0.3878,DOF_E4
Bay Area,1979,5099300,0.4013,DOF_E4
Bay Area,1980,5179784,0.4234,Census
Bay Area,1981,5235400,0.4387,DOF_E4
Bay Area,1982,5308900,0.4589,DOF_E4
Bay Area,1983,5391200,0.4815,DOF_E4
Bay Area,1984,5471300,0.5035,DOF_E4
Bay Area,1985,5547300,0.5244,DOF_E4
Bay Area,1986,5633900,0.5482,DOF_E4
Bay Area,1987,5706600,0.5682,DOF_E4
Bay Area,1988,5793100,0.592,DOF_E4
Bay Area,1989,5891900,0.6191,DOF_E4
Bay Area,1990,6020147,0.6544,Census
Bay Area,1991,6063929,0.6664,DOF_E8
Bay Area,1992,6150405,0.6902,DOF_E8
Bay Area,1993,6236622,0.7139,DOF_E8
Bay Area,1994,6296661,0.7304,DOF_E8
Bay Area,1995,6330094,0.7395,DOF_E8
Bay Area,1996,6375868,0.7521,DOF_E8
Bay Area,1997,6462873,0.776,DOF_E8
Bay Area,1998,6566673,0.8046,DOF_E8
Bay Area,1999,6659001,0.8299,DOF_E8
Bay Area,2000,6757390,0.857,DOF_E8
Bay Area,2001,6833626,0.8779,DOF_E8
Bay Area,2002,6869180,0.8877,DOF_E8
Bay Area,2003,6883559,0.8916,DOF_E8
Bay Area,2004,6895600,0.8949,DOF_E8
Bay Area,2005,6900602,0.8963,DOF_E8
Bay Area,2006,6915872,0.9005,DOF_E8
Bay Area,2007,6964364,0.9138,DOF_E8
Bay Area,2008,7033325,0.9328,DOF_E8
Bay Area,2009,7094889,0.9497,DOF_E8
Bay Area,2010,7150739,0.9651,DOF_E5
Bay Area,2011,7220443,0.9842,DOF_E5
Bay Area,2012,7300094,1.0061,DOF_E5
Bay Area,2013,7397842,1.033,DOF_E5
Bay Area,2014,7483757,1.0566,DOF_E5
Bay Area,2015,7571297,1.0806,DOF_E5
Bay Area,2016,7649565,1.1021,DOF_E5
Bay Area,1960,3638939,,Census
