County,Year,Population,PercentChng_1960,Source
Alameda,1960,908209,,Census
Alameda,1961,933900,0.0283,DOF_E6
Alameda,1962,956000,0.0526,DOF_E6
Alameda,1963,978200,0.0771,DOF_E6
Alameda,1964,1000300,0.1014,DOF_E6
Alameda,1965,1018000,0.1209,DOF_E6
Alameda,1966,1037500,0.1424,DOF_E6
Alameda,1967,1049900,0.156,DOF_E6
Alameda,1968,1059600,0.1667,DOF_E6
Alameda,1969,1070500,0.1787,DOF_E6
Alameda,1970,1073184,0.1816,Census
Alameda,1971,1082200,0.1916,DOF_E4
Alameda,1972,1093800,0.2043,DOF_E4
Alameda,1973,1094600,0.2052,DOF_E4
Alameda,1974,1097600,0.2085,DOF_E4
Alameda,1975,1102700,0.2141,DOF_E4
Alameda,1976,1107400,0.2193,DOF_E4
Alameda,1977,1106000,0.2178,DOF_E4
Alameda,1978,1110000,0.2222,DOF_E4
Alameda,1979,1104100,0.2157,DOF_E4
Alameda,1980,1105379,0.2171,Census
Alameda,1981,1117800,0.2308,DOF_E4
Alameda,1982,1134000,0.2486,DOF_E4
Alameda,1983,1151800,0.2682,DOF_E4
Alameda,1984,1170400,0.2887,DOF_E4
Alameda,1985,1185500,0.3053,DOF_E4
Alameda,1986,1206900,0.3289,DOF_E4
Alameda,1987,1220600,0.344,DOF_E4
Alameda,1988,1242300,0.3679,DOF_E4
Alameda,1989,1261200,0.3887,DOF_E4
Alameda,1990,1276702,0.4057,Census
Alameda,1991,1284782,0.4146,DOF_E8
Alameda,1992,1302709,0.4344,DOF_E8
Alameda,1993,1318127,0.4513,DOF_E8
Alameda,1994,1327526,0.4617,DOF_E8
Alameda,1995,1333031,0.4678,DOF_E8
Alameda,1996,1340509,0.476,DOF_E8
Alameda,1997,1361330,0.4989,DOF_E8
Alameda,1998,1389000,0.5294,DOF_E8
Alameda,1999,1412315,0.5551,DOF_E8
Alameda,2000,1437136,0.5824,DOF_E8
Alameda,2001,1457185,0.6045,DOF_E8
Alameda,2002,1467063,0.6153,DOF_E8
Alameda,2003,1467892,0.6162,DOF_E8
Alameda,2004,1466407,0.6146,DOF_E8
Alameda,2005,1462736,0.6106,DOF_E8
Alameda,2006,1462371,0.6102,DOF_E8
Alameda,2007,1470622,0.6193,DOF_E8
Alameda,2008,1484085,0.6341,DOF_E8
Alameda,2009,1497799,0.6492,DOF_E8
Alameda,2010,1510271,0.6629,DOF_E5
Alameda,2011,1525695,0.6799,DOF_E5
Alameda,2012,1543027,0.699,DOF_E5
Alameda,2013,1566339,0.7246,DOF_E5
Alameda,2014,1587637,0.7481,DOF_E5
Alameda,2015,1610765,0.7736,DOF_E5
Alameda,2016,1627865,0.7924,DOF_E5
Contra Costa,1960,409030,,Census
Contra Costa,1961,425200,0.0395,DOF_E6
Contra Costa,1962,439400,0.0742,DOF_E6
Contra Costa,1963,457700,0.119,DOF_E6
Contra Costa,1964,473200,0.1569,DOF_E6
Contra Costa,1965,491900,0.2026,DOF_E6
Contra Costa,1966,510500,0.2481,DOF_E6
Contra Costa,1967,529200,0.2938,DOF_E6
Contra Costa,1968,538800,0.3173,DOF_E6
Contra Costa,1969,549600,0.3437,DOF_E6
Contra Costa,1970,556116,0.3596,Census
Contra Costa,1971,562900,0.3762,DOF_E4
Contra Costa,1972,570000,0.3935,DOF_E4
Contra Costa,1973,574400,0.4043,DOF_E4
Contra Costa,1974,578000,0.4131,DOF_E4
Contra Costa,1975,583400,0.4263,DOF_E4
Contra Costa,1976,594400,0.4532,DOF_E4
Contra Costa,1977,610200,0.4918,DOF_E4
Contra Costa,1978,625300,0.5287,DOF_E4
Contra Costa,1979,638200,0.5603,DOF_E4
Contra Costa,1980,656380,0.6047,Census
Contra Costa,1981,662900,0.6207,DOF_E4
Contra Costa,1982,672900,0.6451,DOF_E4
Contra Costa,1983,684300,0.673,DOF_E4
Contra Costa,1984,694100,0.6969,DOF_E4
Contra Costa,1985,704600,0.7226,DOF_E4
Contra Costa,1986,718500,0.7566,DOF_E4
Contra Costa,1987,733400,0.793,DOF_E4
Contra Costa,1988,750900,0.8358,DOF_E4
Contra Costa,1989,772900,0.8896,DOF_E4
Contra Costa,1990,803732,0.965,Census
Contra Costa,1991,814985,0.9925,DOF_E8
Contra Costa,1992,832229,1.0346,DOF_E8
Contra Costa,1993,848587,1.0746,DOF_E8
Contra Costa,1994,860963,1.1049,DOF_E8
Contra Costa,1995,869176,1.125,DOF_E8
Contra Costa,1996,878070,1.1467,DOF_E8
Contra Costa,1997,892630,1.1823,DOF_E8
Contra Costa,1998,910831,1.2268,DOF_E8
Contra Costa,1999,928482,1.27,DOF_E8
Contra Costa,2000,944953,1.3102,DOF_E8
Contra Costa,2001,962076,1.3521,DOF_E8
Contra Costa,2002,974657,1.3828,DOF_E8
Contra Costa,2003,984256,1.4063,DOF_E8
Contra Costa,2004,993958,1.43,DOF_E8
Contra Costa,2005,1001216,1.4478,DOF_E8
Contra Costa,2006,1007169,1.4623,DOF_E8
Contra Costa,2007,1015672,1.4831,DOF_E8
Contra Costa,2008,1027264,1.5115,DOF_E8
Contra Costa,2009,1038390,1.5387,DOF_E8
Contra Costa,2010,1049025,1.5647,DOF_E5
Contra Costa,2011,1059495,1.5903,DOF_E5
Contra Costa,2012,1069977,1.6159,DOF_E5
Contra Costa,2013,1083340,1.6486,DOF_E5
Contra Costa,2014,1097172,1.6824,DOF_E5
Contra Costa,2015,1111143,1.7165,DOF_E5
Contra Costa,2016,1123429,1.7466,DOF_E5
Marin,1991,231492,0.5767,DOF_E8
Marin,1960,146820,,Census
Marin,1961,154300,0.0509,DOF_E6
Marin,1962,162100,0.1041,DOF_E6
Marin,1963,170900,0.164,DOF_E6
Marin,1964,177400,0.2083,DOF_E6
Marin,1965,184000,0.2532,DOF_E6
Marin,1966,191600,0.305,DOF_E6
Marin,1967,198500,0.352,DOF_E6
Marin,1968,202900,0.382,DOF_E6
Marin,1969,207600,0.414,DOF_E6
Marin,1970,208652,0.4211,Census
Marin,1971,209000,0.4235,DOF_E4
Marin,1972,212500,0.4474,DOF_E4
Marin,1973,214400,0.4603,DOF_E4
Marin,1974,214400,0.4603,DOF_E4
Marin,1975,217000,0.478,DOF_E4
Marin,1976,220300,0.5005,DOF_E4
Marin,1977,222600,0.5161,DOF_E4
Marin,1978,223700,0.5236,DOF_E4
Marin,1979,223400,0.5216,DOF_E4
Marin,1980,222568,0.5159,Census
Marin,1981,222900,0.5182,DOF_E4
Marin,1982,222800,0.5175,DOF_E4
Marin,1983,222500,0.5155,DOF_E4
Marin,1984,222400,0.5148,DOF_E4
Marin,1985,220500,0.5018,DOF_E4
Marin,1986,220800,0.5039,DOF_E4
Marin,1987,221700,0.51,DOF_E4
Marin,1988,222100,0.5127,DOF_E4
Marin,1989,224500,0.5291,DOF_E4
Marin,1990,230096,0.5672,Census
Marin,1992,234380,0.5964,DOF_E8
Marin,1993,236340,0.6097,DOF_E8
