County,MSA_forIA,Year,Median_Contract_Rent,Median_Contract_Rent_IA,Median_Contract_Rent_PercentChg_1970,Median_Contract_Rent_IA_PercentChg_1970,Source
Alameda County,San Francisco,1970,121,832,0,0,Census_1970_imputed
Alameda County,San Francisco,1980,240,772,0.98,-0.07,Census_1980
Alameda County,San Francisco,1990,570,1116,3.7,0.34,Census_1990
Alameda County,San Francisco,2000,784,1125,5.46,0.35,Census_2000
Alameda County,San Francisco,2006,1015,1255,7.37,0.51,ACE_1YR
Alameda County,San Francisco,2007,1038,1242,7.56,0.49,ACE_1YR
Alameda County,San Francisco,2008,1122,1302,8.25,0.57,ACE_1YR
Alameda County,San Francisco,2009,1111,1280,8.16,0.54,ACE_1YR
Alameda County,San Francisco,2010,1126,1280,8.28,0.54,ACE_1YR
Alameda County,San Francisco,2011,1173,1300,8.67,0.56,ACE_1YR
Alameda County,San Francisco,2012,1182,1275,8.74,0.53,ACE_1YR
Alameda County,San Francisco,2013,1236,1304,9.19,0.57,ACE_1YR
Alameda County,San Francisco,2014,1312,1346,9.82,0.62,ACE_1YR
Alameda County,San Francisco,2015,1435,1435,10.83,0.72,ACE_1YR
Contra Costa County,San Francisco,1970,124,854,0,0,Census_1970_imputed
Contra Costa County,San Francisco,1980,268,862,1.15,0.01,Census_1980
Contra Costa County,San Francisco,1990,613,1200,3.92,0.41,Census_1990
Contra Costa County,San Francisco,2000,826,1185,5.64,0.39,Census_2000
Contra Costa County,San Francisco,2006,1086,1342,7.72,0.57,ACE_1YR
Contra Costa County,San Francisco,2007,1115,1334,7.96,0.56,ACE_1YR
Contra Costa County,San Francisco,2008,1179,1368,8.47,0.6,ACE_1YR
Contra Costa County,San Francisco,2009,1185,1365,8.52,0.6,ACE_1YR
Contra Costa County,San Francisco,2010,1198,1362,8.62,0.6,ACE_1YR
Contra Costa County,San Francisco,2011,1181,1308,8.49,0.53,ACE_1YR
Contra Costa County,San Francisco,2012,1230,1327,8.88,0.55,ACE_1YR
Contra Costa County,San Francisco,2013,1283,1354,9.31,0.59,ACE_1YR
Contra Costa County,San Francisco,2014,1344,1379,9.8,0.62,ACE_1YR
Contra Costa County,San Francisco,2015,1427,1427,10.46,0.67,ACE_1YR
Marin County,San Francisco,1970,161,1102,0,0,Census_1970_imputed
Marin County,San Francisco,1980,348,1119,1.17,0.02,Census_1980
Marin County,San Francisco,1990,763,1493,3.75,0.35,Census_1990
Marin County,San Francisco,2000,1105,1586,5.87,0.44,Census_2000
Marin County,San Francisco,2006,1383,1709,7.6,0.55,ACE_1YR
Marin County,San Francisco,2007,1363,1631,7.48,0.48,ACE_1YR
