Year,County,Num_Employers,Num_Employees,AvgAnnualPay
1990,Alameda,30484,595141,27260
1991,Alameda,35264,589348,29262
1992,Alameda,37575,580372,30739
1993,Alameda,38998,581604,31202
1994,Alameda,38190,582410,32175
1995,Alameda,41139,604087,33263
1996,Alameda,40636,620381,34505
1997,Alameda,39571,631383,37045
1998,Alameda,43683,651492,38809
1999,Alameda,44947,672416,41098
2000,Alameda,43448,697215,45155
2001,Alameda,44645,697181,46489
2002,Alameda,46319,681988,47307
2003,Alameda,47393,677990,48822
2004,Alameda,47498,672203,51402
2005,Alameda,47138,675480,53152
2006,Alameda,49065,683616,55920
2007,Alameda,49291,686655,58189
2008,Alameda,52783,683099,58666
2009,Alameda,53000,640949,58863
2010,Alameda,54132,630343,61175
2011,Alameda,55990,634983,62269
2012,Alameda,54225,658708,63658
2013,Alameda,54891,677978,63533
2014,Alameda,56780,698536,65733
2015,Alameda,58771,728995,68791
2016,Alameda,60608,751599,70563
2017,Alameda,62580,772071,73895
1990,Contra Costa,18462,297074,27299
1991,Contra Costa,21559,289264,28891
1992,Contra Costa,23509,290580,30769
1993,Contra Costa,24487,289035,31685
1994,Contra Costa,23813,289653,32090
1995,Contra Costa,25605,292247,33003
1996,Contra Costa,24776,296299,34338
1997,Contra Costa,23672,306701,36192
1998,Contra Costa,25801,320009,38199
1999,Contra Costa,26196,329072,40954
2000,Contra Costa,25324,337924,42914
2001,Contra Costa,25919,337444,44744
2002,Contra Costa,26968,340197,46015
2003,Contra Costa,27324,335201,46660
2004,Contra Costa,27373,338349,49643
2005,Contra Costa,26956,339738,51515
2006,Contra Costa,28002,345649,53149
2007,Contra Costa,27933,344954,55336
2008,Contra Costa,29450,339547,56306
2009,Contra Costa,29430,320798,56199
2010,Contra Costa,29151,313615,57552
2011,Contra Costa,29871,315064,59146
2012,Contra Costa,28785,323484,60142
2013,Contra Costa,28785,332623,60855
2014,Contra Costa,29524,339281,61920
2015,Contra Costa,30419,346862,63792
2016,Contra Costa,31198,359242,65187
2017,Contra Costa,31919,366799,67207
1990,Marin,8706,97553,26119
1991,Marin,9714,96971,27763
1992,Marin,10182,95239,29109
1993,Marin,10622,96137,29225
1994,Marin,10617,98233,30126
1995,Marin,11483,100731,31552
1996,Marin,11226,101916,33368
1997,Marin,10706,103781,35228
1998,Marin,11626,106639,37703
1999,Marin,11897,110557,39257
2000,Marin,11155,112454,42867
2001,Marin,11185,111939,43547
2002,Marin,11710,111854,45269
2003,Marin,11698,109696,48051
2004,Marin,11699,109601,50539
2005,Marin,11432,108903,52678
2006,Marin,11673,108984,54697
2007,Marin,11429,108655,55725
2008,Marin,11843,109340,56106
2009,Marin,11593,102632,55492
2010,Marin,11576,102062,56134
2011,Marin,11680,102656,57948
2012,Marin,11523,106021,58943
2013,Marin,11601,108850,59427
2014,Marin,11903,110424,61953
2015,Marin,12105,112056,64906
2016,Marin,12286,114063,67211
2017,Marin,12368,115421,68210
1990,Napa,3591,45481,21416
1991,Napa,3929,45447,22207
1992,Napa,4137,45402,23451
1993,Napa,4192,45122,23863
