Year,County,Avg.Median Home price,Interest_Rate,QualifyingIncome,AvgAnnualIncome
1995,Alameda,207880,7.85,57684,33263
2000,Alameda,371850,7.96,104100,45155
2005,Alameda,661420,5.9,155940,53152
2010,Alameda,436433,4.91,94272,61175
2015,Alameda,726000,4.03,144720,68791
2020,Alameda,597782,4.46,98594,77887
2025,Alameda,597089,4.46,98480,86448
2030,Alameda,497524,4.46,82058,95009
2035,Alameda,399172,4.46,65837,103570
2040,Alameda,118068,4.46,19473,112132
1995,Bay Area,239315,7.85,66408,32788
2000,Bay Area,433890,7.96,121440,48066
2005,Bay Area,685463,5.9,161652,53537
2010,Bay Area,449088,4.91,97020,61177
2015,Bay Area,730536,4.03,145608,73803
2020,Bay Area,894098,4.46,147467,83971
2025,Bay Area,986243,4.46,162664,93573
2030,Bay Area,1078589,4.46,177895,103176
2035,Bay Area,1171963,4.46,193296,112779
2040,Bay Area,1264768,4.46,208603,122382
1995,Contra Costa,205093,7.85,56916,33003
2000,Contra Costa,301784,7.96,84480,42914
2005,Contra Costa,588389,5.9,138744,51515
2010,Contra Costa,296380,4.91,64032,57552
2015,Contra Costa,525000,4.03,104628,63792
2020,Contra Costa,1006783,4.46,166052,72576
2025,Contra Costa,1043886,4.46,172172,80117
2030,Contra Costa,1111152,4.46,183266,87659
2035,Contra Costa,1158817,4.46,191128,95200
2040,Contra Costa,1298705,4.46,214200,102741
1995,Marin,344600,7.85,95616,31552
2000,Marin,643250,7.96,180072,42867
2005,Marin,976720,5.9,230328,52678
2010,Marin,810880,4.91,175176,56134
2015,Marin,1100000,4.03,219240,64906
2020,Marin,1438804,4.46,237307,71624
2025,Marin,1548712,4.46,255434,77060
2030,Marin,1656842,4.46,273269,82496
2035,Marin,1750302,4.46,288683,87932
2040,Marin,1837088,4.46,302997,93368
1995,Napa,183550,7.85,50928,25500
2000,Napa,301490,7.96,84384,33104
2005,Napa,655720,5.9,154608,40180
2010,Napa,362460,4.91,78312,45250
2015,Napa,600000,4.03,119604,50650
2020,Napa,432647,4.46,71358,57390
2025,Napa,450107,4.46,74238,63531
2030,Napa,469881,4.46,77499,69673
2035,Napa,524849,4.46,86565,75815
2040,Napa,462767,4.46,76326,81957
1995,San Francisco,268635,7.85,74556,39708
2000,San Francisco,536058,7.96,150060,57723
2005,San Francisco,871042,5.9,205392,66590
2010,San Francisco,748855,4.91,161772,76361
2015,San Francisco,1250000,4.03,249144,97067
2020,San Francisco,1118235,4.46,184434,113663
2025,San Francisco,1266885,4.46,208952,126975
2030,San Francisco,1445826,4.46,238465,140288
2035,San Francisco,1597943,4.46,263554,153600
2040,San Francisco,1652284,4.46,272517,166913
1995,San Mateo,317890,7.85,88224,37176
2000,San Mateo,612380,7.96,171408,67084
2005,San Mateo,903230,5.9,212988,66573
2010,San Mateo,720500,4.91,155664,74254
2015,San Mateo,1250000,4.03,249144,102776
2020,San Mateo,1817541,4.46,299773,125414
2025,San Mateo,2042989,4.46,336957,140787
2030,San Mateo,2445263,4.46,403306,156160
2035,San Mateo,2699809,4.46,445289,171533
2040,San Mateo,3051516,4.46,503297,186905
1995,Santa Clara,255260,7.85,70824,42892
2000,Santa Clara,524000,7.96,146664,76354
2005,Santa Clara,735000,5.9,173328,72693
2010,Santa Clara,595000,4.91,128532,89401
2015,Santa Clara,951000,4.03,189552,113390
2020,Santa Clara,1224452,4.46,201953,135872
2025,Santa Clara,1498682,4.46,247183,151986
2030,Santa Clara,1766938,4.46,291427,168099
2035,Santa Clara,2152661,4.46,355046,184212
2040,Santa Clara,2480666,4.46,409145,200326
1995,Solano,142650,7.85,39564,25784
2000,Solano,194610,7.96,54468,31587
2005,Solano,463030,5.9,109176,38431
2010,Solano,211740,4.91,45744,46273
2015,Solano,349000,4.03,69576,53453
2020,Solano,387801,4.46,63961,60414
2025,Solano,372237,4.46,61394,66892
2030,Solano,372633,4.46,61460,73370
2035,Solano,373161,4.46,61547,79848
2040,Solano,341656,4.46,56350,86326
1995,Sonoma,195170,7.85,54144,26212
2000,Sonoma,318190,7.96,89076,35803
2000,Sonoma,318190,7.96,89076,35803
2005,Sonoma,627910,5.9,148044,40017
2010,Sonoma,363120,4.91,78468,44192
2015,Sonoma,529750,4.03,105612,49398
2020,Sonoma,809178,4.46,133461,55316
2025,Sonoma,839376,4.46,138441,60813
2030,Sonoma,862268,4.46,142217,66309
2035,Sonoma,952018,4.46,157020,71806
2040,Sonoma,1058716,4.46,174618,77302
